	Depth	Pressure	Temp deg. C	Fluorescence 	Oxygen % Sat	Oxygen mg/l	PAR	Salinity	flag		Pressure [psi]	Temp deg. C	Chlor a [mg/m^3]	Oxygen % Sat	Oxygen mg/l	PAR	Salinity [PSU]
cast36	32	46.882	8.978	34.0374	91.96032	9.43164	7.50E+00	31.634	0.00E+00								
cast36	33	48.362	8.9781	34.3105	91.91845	9.43177	6.82E+00	31.6292	0.00E+00								
cast36	34	49.747	8.9776	34.4169	91.58057	9.43191	6.21E+00	31.6274	0.00E+00								
cast36	35	51.057	8.9778	34.587	90.95888	9.43202	5.67E+00	31.627	0.00E+00								
cast36	36	52.407	8.9787	34.5137	90.78367	9.43168	5.18E+00	31.6313	0.00E+00								
cast36	37	53.853	8.9806	34.3809	90.50739	9.4311	4.76E+00	31.6364	0.00E+00								
cast36	38	55.217	8.9807	34.2303	88.7207	9.43078	4.40E+00	31.6334	0.00E+00								
cast36	39	56.14	9.0053	34.8923	85.2968	9.42663	4.02E+00	31.6504	0.00E+00								
cast43	1	2.029	9.2234	36.7916	94.32601	9.36108	5.01E+01	31.4339	0.00E+00								
cast43	2	3.175	9.1859	30.6613	93.2961	9.38407	2.75E+01	31.5725	0.00E+00								
cast43	3	4.47	9.177	30.4571	89.87938	9.38981	2.12E+01	31.6185	0.00E+00								
cast43	4	5.864	9.1778	30.7208	86.26715	9.38992	1.78E+01	31.6348	0.00E+00								
cast43	5	7.318	9.182	32.7496	85.23892	9.38766	1.50E+01	31.6632	0.00E+00								
cast43	6	8.742	9.1847	33.0008	85.95564	9.38749	1.30E+01	31.6539	0.00E+00								
cast43	7	10.144	9.1863	33.097	87.00052	9.38827	1.16E+01	31.6312	0.00E+00								
cast43	8	11.665	9.1855	33.6021	89.37959	9.38798	1.06E+01	31.6357	0.00E+00								
cast43	9	13.35	9.1842	33.5071	92.5483	9.38834	9.84E+00	31.6297	0.00E+00								
cast43	10	14.887	9.1777	33.4228	93.79913	9.39014	9.07E+00	31.6097	0.00E+00								
cast43	11	16.274	9.1736	33.6077	93.76351	9.39175	8.25E+00	31.605	0.00E+00								
cast43	12	17.599	9.1732	33.7276	93.20947	9.39226	7.50E+00	31.6056	0.00E+00								
cast43	13	18.964	9.1728	33.9756	92.78214	9.39235	6.82E+00	31.6066	0.00E+00								
cast43	14	20.433	9.1722	34.2625	92.49417	9.39242	6.22E+00	31.6071	0.00E+00								
cast43	15	21.987	9.1711	34.4242	92.43425	9.39258	5.69E+00	31.6067	0.00E+00								
cast43	16	23.516	9.1694	33.7561	92.37918	9.3929	5.22E+00	31.606	0.00E+00								
cast43	17	25.015	9.1693	33.8057	92.2088	9.39322	4.78E+00	31.6061	0.00E+00								
cast43	18	26.449	9.17	33.8284	92.12896	9.39324	4.39E+00	31.6045	0.00E+00								
cast43	19	27.919	9.1701	34.072	92.23374	9.39318	4.02E+00	31.6037	0.00E+00								
cast43	20	29.401	9.1697	34.0878	92.44834	9.3932	3.70E+00	31.6033	0.00E+00								
cast43	21	30.862	9.1697	34.2262	92.51393	9.39338	3.43E+00	31.6015	0.00E+00								
cast43	22	32.292	9.1692	34.3072	92.30933	9.39348	3.20E+00	31.5998	0.00E+00								
cast43	23	33.666	9.1691	34.2004	91.9317	9.39366	2.99E+00	31.5986	0.00E+00								
cast43	24	35.002	9.17	34.1702	91.59552	9.39359	2.81E+00	31.6	0.00E+00								
cast43	25	36.361	9.1707	34.1995	91.52395	9.3934	2.67E+00	31.6	0.00E+00								
cast43	26	37.864	9.1715	34.2071	91.72498	9.3931	2.51E+00	31.6022	0.00E+00								
cast43	27	39.438	9.1721	34.3248	92.0071	9.39292	2.39E+00	31.6023	0.00E+00								
cast43	28	40.867	9.1726	34.621	92.14069	9.39288	2.29E+00	31.6015	0.00E+00								
cast43	29	42.21	9.1731	34.9106	91.73274	9.3928	2.20E+00	31.6006	0.00E+00								
cast43	30	43.494	9.1732	34.358	90.25207	9.39275	2.11E+00	31.6002	0.00E+00								
cast43	31	44.617	9.1735	34.1599	87.64575	9.39271	2.04E+00	31.6005	0.00E+00								
cast43	32	46.291	9.191	33.7953	81.79281	9.38892	1.81E+00	31.6225	0.00E+00								
cast44	1	1.239	9.6751	35.6623	93.10846	9.18713	1.42E+02	30.6062	0.00E+00								
cast44	2	2.937	9.5241	30.4175	85.55287	9.33393	6.99E+01	31.7247	0.00E+00								
cast44	3	4.413	9.6057	30.1447	85.94318	9.31005	7.16E+01	31.7221	0.00E+00								
cast44	4	6.112	9.5513	32.3554	89.48834	9.30662	6.09E+01	31.4351	0.00E+00								
cast44	5	7.555	9.455	32.4592	88.41525	9.33402	5.10E+01	31.5568	0.00E+00								
cast44	6	9.085	9.4317	32.3604	92.29271	9.33886	4.13E+01	31.5573	0.00E+00								
cast44	7	10.376	9.3864	32.6158	93.98411	9.35194	3.56E+01	31.429	0.00E+00								
cast44	8	11.706	9.3544	32.7258	94.02614	9.36078	3.10E+01	31.4361	0.00E+00								
cast44	9	13.232	9.3418	32.894	94.15466	9.36573	2.71E+01	31.452	0.00E+00								
cast44	10	14.853	9.3382	32.9747	94.36637	9.36747	2.46E+01	31.4413	0.00E+00								
cast44	11	16.345	9.3272	32.7675	94.20048	9.36972	2.21E+01	31.4199	0.00E+00								
cast44	12	17.742	9.3169	32.7409	93.854	9.37224	1.97E+01	31.4162	0.00E+00								
cast44	13	19.088	9.3042	32.7327	93.47219	9.37465	1.75E+01	31.4095	0.00E+00								
cast44	14	20.458	9.2928	32.8468	93.07587	9.37735	1.55E+01	31.4099	0.00E+00								
cast44	15	21.866	9.2821	33.007	92.69459	9.37966	1.37E+01	31.4119	0.00E+00								
cast44	16	23.277	9.2762	33.3005	92.46608	9.38142	1.22E+01	31.4179	0.00E+00								
cast44	17	24.849	9.2757	33.3376	92.51459	9.382	1.08E+01	31.4265	0.00E+00								
cast44	18	26.497	9.2753	33.2501	92.73858	9.38187	9.60E+00	31.4243	0.00E+00								
cast44	19	28.005	9.2649	33.66	92.85492	9.38293	8.64E+00	31.4147	0.00E+00								
cast44	20	29.446	9.2588	33.7094	92.887	9.38409	7.79E+00	31.4319	0.00E+00								
cast44	21	30.862	9.2566	33.8576	92.91449	9.38532	7.05E+00	31.4292	0.00E+00								
cast44	22	32.277	9.2567	33.6688	92.81834	9.38544	6.34E+00	31.4346	0.00E+00								
cast44	23	33.652	9.2563	33.4757	92.72117	9.38487	5.71E+00	31.4433	0.00E+00								
cast44	24	35.022	9.2551	33.5122	92.40361	9.38551	5.14E+00	31.434	0.00E+00								
cast44	25	36.402	9.2551	33.5024	92.06204	9.38559	4.66E+00	31.4362	0.00E+00								
cast44	26	37.854	9.256	33.8924	91.62823	9.38511	4.22E+00	31.4442	0.00E+00								
cast44	27	39.416	9.2573	33.9725	91.53788	9.38447	3.85E+00	31.4506	0.00E+00								
cast44	28	41.045	9.2582	34.1221	91.95326	9.38409	3.55E+00	31.4527	0.00E+00								
cast44	29	42.603	9.2579	34.1787	92.45875	9.38408	3.29E+00	31.4511	0.00E+00								
cast44	30	44.038	9.2569	34.2095	92.63209	9.38454	3.06E+00	31.4447	0.00E+00								
cast44	31	45.329	9.2549	34.098	92.31412	9.38499	2.86E+00	31.4406	0.00E+00								
cast44	32	46.533	9.2571	34.1007	91.41175	9.38503	2.69E+00	31.4465	0.00E+00								
cast44	33	47.657	9.2608	34.0758	90.08737	9.38418	2.53E+00	31.4526	0.00E+00								
cast44	34	48.739	9.2651	34.0566	88.14222	9.38306	2.39E+00	31.457	0.00E+00								
cast44	35	49.731	9.2783	33.9517	85.4071	9.38074	1.60E+00	31.4719	0.00E+00								
cast55	1	1.651	9.5172	33.9239	88.64401	9.30689	2.62E+02	31.005	0.00E+00								
cast55	2	3.077	9.4631	33.0274	88.4728	9.34786	2.39E+02	31.3497	0.00E+00								
cast55	3	4.519	9.4653	32.8884	89.09175	9.34704	2.00E+02	31.351	0.00E+00								
cast55	4	5.839	9.4592	33.0406	86.50864	9.34851	1.68E+02	31.3441	0.00E+00								
cast55	5	7.218	9.4568	33.5648	83.40291	9.34517	1.36E+02	31.4025	0.00E+00								
cast55	6	8.681	9.4554	33.2665	80.76014	9.34266	1.11E+02	31.4663	0.00E+00								
cast55	7	10.256	9.5123	33.553	83.09643	9.33653	9.78E+01	31.5025	0.00E+00								
cast55	8	11.981	9.4946	33.9515	92.39357	9.33428	8.53E+01	31.2962	0.00E+00								
cast55	9	13.39	9.4261	33.8649	95.21148	9.35455	7.36E+01	31.2724	0.00E+00								
cast55	10	14.752	9.417	34.0138	94.87197	9.35989	6.47E+01	31.2881	0.00E+00								
cast55	11	16.125	9.4146	34.0215	94.31183	9.36115	5.62E+01	31.2881	0.00E+00								
cast55	12	17.556	9.4119	33.9104	94.06089	9.3616	4.88E+01	31.2888	0.00E+00								
cast55	13	19.086	9.4109	33.8269	94.1782	9.3622	4.26E+01	31.2871	0.00E+00								
cast55	14	20.67	9.4088	33.6393	94.47285	9.36239	3.71E+01	31.2869	0.00E+00								
cast55	15	22.169	9.4055	33.8901	94.62877	9.36266	3.24E+01	31.2924	0.00E+00								
cast55	16	23.675	9.4039	34.3489	94.67764	9.36332	2.82E+01	31.2897	0.00E+00								
cast55	17	25.124	9.4027	33.8256	94.59078	9.36326	2.46E+01	31.2958	0.00E+00								
cast55	18	26.565	9.402	33.8172	94.52586	9.36353	2.13E+01	31.2954	0.00E+00								
cast55	19	27.93	9.4017	34.5342	94.35097	9.36386	1.85E+01	31.2916	0.00E+00								
cast55	20	29.27	9.4016	34.4459	94.14936	9.36402	1.62E+01	31.2904	0.00E+00								
cast55	21	30.711	9.402	34.4745	94.21903	9.36429	1.41E+01	31.2856	0.00E+00								
cast55	22	32.184	9.4017	34.4898	94.09056	9.36426	1.23E+01	31.2851	0.00E+00								
cast55	23	33.636	9.4016	33.7861	93.95719	9.36418	1.07E+01	31.2875	0.00E+00								
cast55	24	35.119	9.4019	33.7009	93.84872	9.36409	9.35E+00	31.2891	0.00E+00								
cast55	25	36.587	9.4021	34.6238	93.73895	9.364	8.21E+00	31.2893	0.00E+00								
cast55	26	38.124	9.4018	34.4172	93.80365	9.36392	7.25E+00	31.2905	0.00E+00								
cast55	27	39.611	9.4013	34.2343	93.98411	9.36355	6.45E+00	31.2977	0.00E+00								
cast55	28	41.06	9.4013	34.259	94.11606	9.36351	5.75E+00	31.3001	0.00E+00								
cast55	29	42.483	9.401	34.2851	93.94302	9.36351	5.13E+00	31.3003	0.00E+00								
cast55	30	43.854	9.4013	35.6606	93.76715	9.36349	4.63E+00	31.3011	0.00E+00								
cast55	31	45.257	9.4015	37.0659	93.59974	9.36343	4.18E+00	31.3016	0.00E+00								
cast55	32	46.722	9.4014	35.8281	93.67033	9.36329	3.78E+00	31.3029	0.00E+00								
cast55	33	48.223	9.4014	34.8595	93.82351	9.36334	3.46E+00	31.3025	0.00E+00								
cast55	34	49.669	9.4015	34.6232	93.95041	9.36332	3.19E+00	31.3026	0.00E+00								
cast55	35	51.068	9.4017	34.2814	93.60123	9.36332	2.95E+00	31.3024	0.00E+00								
cast55	36	52.382	9.4019	34.2851	92.07525	9.3634	2.75E+00	31.3003	0.00E+00								
cast55	37	53.481	9.4018	34.2471	89.50374	9.36337	2.58E+00	31.3004	0.00E+00								
cast55	38	54.887	9.4084	34.5459	86.62994	9.36199	2.38E+00	31.3088	0.00E+00								
cast55	39	56.682	9.4703	33.5047	82.14687	9.3529	2.12E+00	31.394	0.00E+00								
cast56	1	1.742	9.4002	33.2626	89.96626	9.35163	4.08E+02	31.3665	0.00E+00								
cast56	2	3.017	9.3933	30.6359	85.29212	9.35687	2.24E+02	31.4521	0.00E+00								
cast56	3	4.468	9.4839	33.4401	84.24785	9.34328	1.75E+02	31.533	0.00E+00								
cast56	4	5.997	9.447	33.245	87.9843	9.33851	1.43E+02	31.4124	0.00E+00								
cast56	5	7.561	9.4005	33.3443	92.0724	9.35338	1.16E+02	31.419	0.00E+00								
cast56	6	8.998	9.3892	33.6706	92.32307	9.35805	9.51E+01	31.4066	0.00E+00								
cast56	7	10.27	9.3811	33.7083	90.13897	9.36087	7.68E+01	31.3924	0.00E+00								
cast56	8	11.541	9.3762	33.6929	87.8067	9.36222	6.21E+01	31.395	0.00E+00								
cast56	9	13	9.3748	34.0061	88.26752	9.36207	5.08E+01	31.4134	0.00E+00								
cast56	10	14.705	9.3776	34.2695	91.39544	9.36179	4.25E+01	31.4129	0.00E+00								
cast56	11	16.312	9.3729	34.3206	93.02467	9.36333	3.65E+01	31.3878	0.00E+00								
cast56	12	17.74	9.3684	34.1401	93.31184	9.36498	3.12E+01	31.3791	0.00E+00								
cast56	13	19.177	9.3666	33.7197	93.38886	9.36599	2.64E+01	31.3747	0.00E+00								
cast56	14	20.592	9.3656	34.1824	93.0945	9.36652	2.24E+01	31.3699	0.00E+00								
cast56	15	21.947	9.3656	34.4103	92.53507	9.3669	1.89E+01	31.3667	0.00E+00								
cast56	16	23.33	9.3647	33.9176	92.18354	9.36687	1.59E+01	31.3675	0.00E+00								
cast56	17	24.846	9.3643	34.0336	92.38828	9.3669	1.34E+01	31.37	0.00E+00								
cast56	18	26.394	9.3633	34.1354	92.62408	9.36703	1.14E+01	31.3692	0.00E+00								
cast56	19	27.908	9.3617	34.251	92.69261	9.3674	9.72E+00	31.3678	0.00E+00								
cast56	20	29.374	9.3619	34.273	92.78326	9.3677	8.34E+00	31.3673	0.00E+00								
cast56	21	30.836	9.3626	34.265	92.86529	9.36769	7.20E+00	31.3653	0.00E+00								
cast56	22	32.263	9.3626	34.4583	92.84722	9.36764	6.25E+00	31.3638	0.00E+00								
cast56	23	33.672	9.3625	34.2994	92.7611	9.36777	5.46E+00	31.3621	0.00E+00								
cast56	24	35.112	9.3621	33.9692	92.53791	9.36785	4.78E+00	31.3613	0.00E+00								
cast56	25	36.537	9.3622	34.1402	92.18542	9.36789	4.24E+00	31.3618	0.00E+00								
cast56	26	37.92	9.362	34.2393	91.82467	9.36792	3.77E+00	31.3612	0.00E+00								
cast56	27	39.372	9.3615	34.0926	91.3559	9.36791	3.37E+00	31.3626	0.00E+00								
cast56	28	40.87	9.3616	34.3617	91.34974	9.36789	3.05E+00	31.3641	0.00E+00								
cast56	29	42.482	9.3625	34.3325	92.04228	9.36773	2.79E+00	31.3653	0.00E+00								
cast56	30	44.041	9.3622	33.9425	92.49528	9.3677	2.58E+00	31.3629	0.00E+00								
cast56	31	45.401	9.3612	34.0233	92.2139	9.36797	2.41E+00	31.3611	0.00E+00								
cast56	32	46.697	9.3612	34.0861	91.95524	9.36812	2.26E+00	31.3612	0.00E+00								
cast56	33	48.051	9.361	34.3581	91.59386	9.36809	2.14E+00	31.3619	0.00E+00								
cast56	34	49.35	9.3614	34.65	89.95	9.36806	2.04E+00	31.3626	0.00E+00								
cast56	35	50.402	9.365	34.7239	87.23511	9.3678	1.89E+00	31.3658	0.00E+00								
cast56	36	51.461	9.4155	32.8797	85.80467	9.35756	1.65E+00	31.3701	0.00E+00								
cast67	1	1.999	9.6129	28.8711	87.47143	9.31497	2.03E+02	31.3541	0.00E+00								
cast67	2	3.1	9.6123	32.7443	84.39631	9.31608	1.03E+02	31.3643	0.00E+00								
cast67	3	4.412	9.6229	33.02	82.50644	9.31513	6.62E+01	31.373	0.00E+00								
cast67	4	5.897	9.625	33.2604	84.43012	9.3123	5.09E+01	31.3812	0.00E+00								
cast67	5	7.494	9.6176	33.556	89.14392	9.31442	4.17E+01	31.362	0.00E+00								
cast67	6	9.011	9.6131	33.9481	91.71306	9.31605	3.31E+01	31.3546	0.00E+00								
cast67	7	10.409	9.6093	33.5424	92.04271	9.3169	2.72E+01	31.3523	0.00E+00								
cast67	8	11.786	9.6065	33.7479	92.13069	9.31775	2.26E+01	31.3511	0.00E+00								
cast67	9	13.28	9.606	33.9999	92.55117	9.31825	1.93E+01	31.3505	0.00E+00								
cast67	10	14.797	9.6066	34.1549	92.78324	9.31844	1.67E+01	31.3471	0.00E+00								
cast67	11	16.229	9.6068	34.1	92.68427	9.31855	1.43E+01	31.3438	0.00E+00								
cast67	12	17.618	9.6065	34.0331	92.43311	9.31873	1.21E+01	31.3399	0.00E+00								
cast67	13	19.031	9.6058	34.1261	92.45655	9.31894	1.04E+01	31.3378	0.00E+00								
cast67	14	20.532	9.6053	34.1679	92.5646	9.31908	8.92E+00	31.3385	0.00E+00								
cast67	15	22.026	9.6054	33.8442	92.53114	9.31922	7.70E+00	31.3371	0.00E+00								
cast67	16	23.481	9.6057	33.8409	92.23407	9.31926	6.62E+00	31.3361	0.00E+00								
cast67	17	24.896	9.6055	34.1783	92.00936	9.31926	5.70E+00	31.3351	0.00E+00								
cast67	18	26.301	9.6053	34.1864	91.95727	9.31924	4.93E+00	31.3359	0.00E+00								
cast67	19	27.778	9.6056	33.9232	92.12262	9.31914	4.31E+00	31.3379	0.00E+00								
cast67	20	29.341	9.6057	33.9711	92.42033	9.31911	3.80E+00	31.3378	0.00E+00								
cast67	21	30.873	9.6058	34.0484	92.66907	9.31907	3.38E+00	31.338	0.00E+00								
cast67	22	32.312	9.6053	34.0877	92.7067	9.31917	3.05E+00	31.3367	0.00E+00								
cast67	23	33.716	9.6053	34.1228	92.53442	9.31926	2.77E+00	31.3364	0.00E+00								
cast67	24	35.104	9.6079	33.9846	92.3472	9.31915	2.55E+00	31.3381	0.00E+00								
cast67	25	36.552	9.6116	33.9472	92.2375	9.31853	2.35E+00	31.3388	0.00E+00								
cast67	26	38.006	9.6135	34.0475	92.26199	9.31789	2.19E+00	31.3364	0.00E+00								
cast67	27	39.483	9.6135	33.9974	92.35331	9.31762	2.07E+00	31.3361	0.00E+00								
cast67	28	40.964	9.6136	33.9062	92.35145	9.31764	1.97E+00	31.3353	0.00E+00								
cast67	29	42.456	9.6141	33.8943	92.34202	9.3176	1.88E+00	31.3354	0.00E+00								
cast67	30	43.94	9.6143	33.9429	92.30569	9.31752	1.82E+00	31.3353	0.00E+00								
cast67	31	45.392	9.6141	34.1536	92.28062	9.31756	1.76E+00	31.3337	0.00E+00								
cast67	32	46.733	9.6145	34.386	92.20637	9.31755	1.73E+00	31.3347	0.00E+00								
cast67	33	48.106	9.6149	34.3969	92.14219	9.31751	1.69E+00	31.334	0.00E+00								
cast67	34	49.506	9.6152	34.3678	91.9952	9.31732	1.67E+00	31.3355	0.00E+00								
cast67	35	50.882	9.6149	34.2561	91.13487	9.31735	1.66E+00	31.3341	0.00E+00								
cast67	36	52.112	9.6144	34.2429	89.42576	9.31736	1.63E+00	31.3353	0.00E+00								
cast67	37	53.131	9.6182	34.1722	84.68488	9.31684	1.68E+00	31.3364	0.00E+00								
cast77	1	1.725	9.4339	33.6289	87.24243	9.33814	1.73E+02	31.4964	0.00E+00								
cast77	2	3.038	9.4262	33.5422	82.67559	9.34216	9.31E+01	31.5685	0.00E+00								
cast77	3	4.464	9.4302	33.4891	83.00831	9.33817	6.69E+01	31.6263	0.00E+00								
cast77	4	5.823	9.431	33.7058	83.30092	9.34175	5.01E+01	31.5594	0.00E+00								
cast77	5	7.306	9.4325	33.8705	81.86451	9.33871	3.87E+01	31.6044	0.00E+00								
cast77	6	8.839	9.4279	33.7675	82.35847	9.34208	2.89E+01	31.5563	0.00E+00								
cast77	7	10.218	9.427	33.78	82.09168	9.34165	2.22E+01	31.579	0.00E+00								
cast77	8	11.711	9.4777	33.9021	82.42561	9.33141	1.80E+01	31.6782	0.00E+00								
cast77	9	13.271	9.46	33.9671	87.6488	9.33158	1.47E+01	31.5309	0.00E+00								
cast77	10	14.621	9.4178	33.9591	89.60956	9.34442	1.17E+01	31.5022	0.00E+00								
cast77	11	15.968	9.4082	34.0013	88.22397	9.34855	9.28E+00	31.5133	0.00E+00								
cast77	12	17.608	9.4091	34.1133	89.2816	9.34854	7.59E+00	31.525	0.00E+00								
cast77	13	19.181	9.4046	34.0075	91.04286	9.34999	6.35E+00	31.5018	0.00E+00								
cast77	14	20.558	9.4025	34.5286	90.28443	9.35098	5.26E+00	31.5017	0.00E+00								
cast77	15	21.974	9.4023	34.7944	89.93574	9.3512	4.43E+00	31.4999	0.00E+00								
cast77	16	23.51	9.4027	34.7045	90.90103	9.35118	3.79E+00	31.5009	0.00E+00								
cast77	17	25.064	9.4021	34.5998	91.55346	9.35138	3.30E+00	31.4963	0.00E+00								
cast77	18	26.466	9.4006	34.1476	91.11076	9.35192	2.91E+00	31.4911	0.00E+00								
cast77	19	27.786	9.3988	35.0402	90.97277	9.35233	2.60E+00	31.4897	0.00E+00								
cast77	20	29.306	9.3981	34.4345	90.88259	9.35255	2.37E+00	31.4911	0.00E+00								
cast77	21	30.742	9.3977	33.9844	90.56672	9.35282	2.19E+00	31.49	0.00E+00								
cast77	22	32.195	9.3985	34.1374	90.49742	9.3527	2.04E+00	31.4907	0.00E+00								
cast77	23	33.691	9.3985	34.0326	90.72081	9.3526	1.93E+00	31.4899	0.00E+00								
cast77	24	35.201	9.3982	33.9419	90.8964	9.35271	1.84E+00	31.4895	0.00E+00								
cast77	25	36.628	9.3984	33.9374	90.85973	9.35277	1.78E+00	31.4883	0.00E+00								
cast77	26	38.034	9.3984	33.982	90.66625	9.35278	1.73E+00	31.4875	0.00E+00								
cast77	27	39.478	9.3992	33.8017	90.71879	9.35275	1.69E+00	31.488	0.00E+00								
cast77	28	41.027	9.3986	34.0838	91.129	9.35269	1.66E+00	31.4873	0.00E+00								
cast77	29	42.562	9.3969	34.3899	91.14054	9.35296	1.63E+00	31.4857	0.00E+00								
cast77	30	44.005	9.3945	34.7795	91.13196	9.3534	1.62E+00	31.4854	0.00E+00								
cast77	31	45.473	9.3937	34.4629	91.33279	9.35374	1.60E+00	31.4865	0.00E+00								
cast77	32	46.926	9.393	34.2179	91.45616	9.35391	1.59E+00	31.4857	0.00E+00								
cast77	33	48.362	9.3926	34.0271	91.18063	9.35408	1.59E+00	31.4853	0.00E+00								
cast77	34	49.725	9.3924	33.9682	90.96494	9.35412	1.58E+00	31.4857	0.00E+00								
cast77	35	51.177	9.393	34.1242	91.12187	9.35409	1.57E+00	31.4868	0.00E+00								
cast77	36	52.747	9.3957	34.4447	91.51121	9.35373	1.57E+00	31.4875	0.00E+00								
cast77	37	54.271	9.3968	33.7745	91.58711	9.35344	1.57E+00	31.4844	0.00E+00								
cast77	38	55.661	9.398	33.9443	91.45423	9.35329	1.57E+00	31.4839	0.00E+00								
cast77	39	57.043	9.3989	34.2344	91.31273	9.35314	1.56E+00	31.4828	0.00E+00								
cast77	40	58.488	9.3985	34.4393	91.3919	9.35295	1.56E+00	31.4831	0.00E+00								
cast77	41	59.985	9.3979	34.4428	91.57647	9.35316	1.56E+00	31.4827	0.00E+00								
cast77	42	61.427	9.4008	34.2872	91.47729	9.35305	1.56E+00	31.4834	0.00E+00								
cast77	43	62.753	9.4032	34.1115	91.15044	9.35241	1.56E+00	31.4822	0.00E+00								
cast77	44	63.993	9.4031	34.2772	90.4298	9.35228	1.56E+00	31.4796	0.00E+00								
cast77	45	65.096	9.4037	34.5837	88.63773	9.35222	1.56E+00	31.4803	0.00E+00								
cast77	46	65.479	9.411	34.4376	88.45492	9.35107	1.54E+00	31.4851	0.00E+00								
cast89	1	1.667	9.7227	30.1931	91.39096	9.28341	1.43E+03	31.3305	0.00E+00								
cast89	2	3.275	9.6979	31.9511	86.68852	9.29814	8.51E+02	31.3877	0.00E+00								
cast89	3	4.667	9.709	31.9222	90.66375	9.29586	5.85E+02	31.3852	0.00E+00								
cast89	4	5.994	9.7074	31.9979	92.54758	9.29808	5.12E+02	31.3391	0.00E+00								
cast89	5	7.42	9.7106	32.0263	92.60244	9.29809	4.10E+02	31.3359	0.00E+00								
cast89	6	8.754	9.7005	32.0218	90.53363	9.29888	3.11E+02	31.3178	0.00E+00								
cast89	7	10.144	9.6733	32.0177	89.05897	9.30287	2.35E+02	31.3204	0.00E+00								
cast89	8	11.729	9.6669	32.1756	91.15231	9.30485	1.73E+02	31.3564	0.00E+00								
cast89	9	13.42	9.6555	32.3303	94.80714	9.30736	1.33E+02	31.3362	0.00E+00								
cast89	10	14.977	9.6389	32.5313	96.1791	9.31184	1.07E+02	31.3082	0.00E+00								
cast89	11	16.378	9.6304	32.782	95.99433	9.31479	8.60E+01	31.3051	0.00E+00								
cast89	12	17.7	9.6287	32.7444	95.96061	9.31644	6.73E+01	31.2963	0.00E+00								
cast89	13	19.013	9.6253	32.7306	95.54476	9.31734	5.16E+01	31.288	0.00E+00								
cast89	14	20.349	9.6233	32.9157	94.56533	9.31808	3.96E+01	31.2886	0.00E+00								
cast89	15	21.827	9.6266	33.1574	93.3163	9.31839	3.03E+01	31.2872	0.00E+00								
cast89	16	23.339	9.6258	33.3099	93.23758	9.31781	2.38E+01	31.284	0.00E+00								
cast89	17	24.874	9.6248	33.271	94.42315	9.31804	2.07E+01	31.2891	0.00E+00								
cast89	18	26.504	9.6228	33.2256	95.32969	9.31805	1.68E+01	31.2891	0.00E+00								
cast89	19	27.963	9.6208	33.3725	95.40828	9.31871	1.35E+01	31.2889	0.00E+00								
cast89	20	29.374	9.6215	33.3796	95.30873	9.31898	1.08E+01	31.2881	0.00E+00								
cast89	21	30.766	9.6215	33.5685	95.07324	9.31895	8.67E+00	31.2856	0.00E+00								
cast89	22	32.166	9.6207	33.5955	94.5936	9.31907	7.03E+00	31.2839	0.00E+00								
cast89	23	33.627	9.6221	33.4314	94.30921	9.31918	5.83E+00	31.2836	0.00E+00								
cast89	24	35.117	9.6217	33.4805	94.49878	9.3191	5.01E+00	31.2814	0.00E+00								
cast89	25	36.637	9.6229	33.5523	94.74535	9.31912	4.39E+00	31.2812	0.00E+00								
cast89	26	38.111	9.6201	33.4551	94.81844	9.31902	3.83E+00	31.2801	0.00E+00								
cast89	27	39.49	9.6196	33.6096	94.38257	9.31945	3.35E+00	31.2823	0.00E+00								
cast89	28	40.871	9.6105	33.8682	93.81954	9.31966	2.94E+00	31.2812	0.00E+00								
cast89	29	42.301	9.604	33.7596	93.49224	9.32146	2.60E+00	31.2884	0.00E+00								
cast89	30	43.723	9.605	33.6107	93.8319	9.32215	2.38E+00	31.293	0.00E+00								
cast89	31	45.132	9.6045	33.2094	94.27565	9.32182	2.21E+00	31.2931	0.00E+00								
cast89	32	46.445	9.6004	33.3891	93.02009	9.32217	2.08E+00	31.2954	0.00E+00								
cast89	33	47.498	9.5981	33.7858	90.47943	9.32271	1.97E+00	31.2972	0.00E+00								
cast89	34	48.452	9.6107	33.5608	84.3545	9.3207	2.04E+00	31.3125	0.00E+00								
cast90	1	1.513	10.3115	27.4588	89.87687	8.98956	9.07E+02	30.8887	0.00E+00								
cast90	2	3.133	9.9786	26.0832	92.22377	9.17782	4.62E+02	32.2003	0.00E+00								
cast90	3	4.667	9.9072	26.0207	96.16278	9.20294	3.26E+02	32.1683	0.00E+00								
cast90	4	6.131	9.8263	26.2309	96.72021	9.22443	3.79E+02	32.0202	0.00E+00								
cast90	5	7.544	9.7661	26.4458	96.05431	9.24348	3.43E+02	31.93	0.00E+00								
cast90	6	8.895	9.7313	26.5716	95.2637	9.2548	2.82E+02	31.9032	0.00E+00								
cast90	7	10.261	9.7052	26.6568	94.67528	9.265	2.24E+02	31.8416	0.00E+00								
cast90	8	11.666	9.694	27.2234	95.48593	9.27125	1.78E+02	31.8151	0.00E+00								
cast90	9	13.191	9.6936	27.5447	97.11596	9.27501	1.52E+02	31.7734	0.00E+00								
cast90	10	14.806	9.6776	27.9008	98.32852	9.2794	1.26E+02	31.7097	0.00E+00								
cast90	11	16.293	9.6397	28.1733	98.46903	9.29153	1.05E+02	31.5908	0.00E+00								
cast90	12	17.671	9.6122	28.4568	98.01416	9.30203	8.68E+01	31.5237	0.00E+00								
