	Depth	Pressure	Temp deg. C	Fluorescence 	Oxygen % Sat	Oxygen mg/l	PAR	Salinity	flag	Depth [m]	Pressure [psi]	Temp deg. C	Chlor a [mg/m^3]	Oxygen % Sat	Oxygen mg/l	PAR	Salinity [PSU]
cast5	1	1.733	10.0231	29.8761	89.06758	9.34116	2.28E+03	29.3031	0.00E+00	1	1.766	10.521	32.688	89.289	9.245	708.482	29.173
cast5	2	3.111	9.9866	34.3513	87.816	9.36681	1.32E+03	29.2798	0.00E+00	2	3.088	10.448	29.328	87.619	9.266	374.235	29.301
cast5	3	4.294	10.1352	34.1823	82.93347	9.34395	6.69E+02	29.4101	0.00E+00	3	4.550	10.414	30.936	87.135	9.270	238.704	29.336
cast5	4	5.93	10.1555	34.2959	89.61949	9.31253	3.83E+02	29.2779	0.00E+00	4	5.979	10.333	31.752	87.718	9.280	163.263	29.367
cast5	5	7.411	9.809	34.3843	89.77547	9.37718	2.53E+02	29.234	0.00E+00	5	7.425	10.273	32.278	88.139	9.291	105.977	29.404
cast5	6	8.695	9.6972	34.4677	83.28797	9.3975	1.35E+02	29.5598	0.00E+00	6	8.868	10.209	32.447	88.379	9.302	70.046	29.452
cast5	7	10.255	9.8272	34.5748	85.80929	9.3788	8.05E+01	29.7804	0.00E+00	7	10.299	10.145	32.421	89.386	9.310	47.798	29.506
cast5	8	11.787	9.6166	34.695	90.77839	9.39572	5.69E+01	29.5121	0.00E+00	8	11.709	10.061	32.564	89.673	9.321	33.321	29.573
cast5	9	13.019	9.486	34.6918	87.09106	9.42626	3.52E+01	29.801	0.00E+00	9	13.132	10.003	32.644	89.148	9.330	23.248	29.687
cast5	10	14.633	9.463	34.7262	86.16529	9.42798	2.16E+01	30.0127	0.00E+00	10	14.640	9.967	32.610	89.914	9.335	16.635	29.735
cast5	11	16.256	9.3651	34.7717	91.63881	9.44028	1.67E+01	29.9791	0.00E+00	11	16.112	9.894	32.603	90.778	9.346	12.449	29.763
cast5	12	17.504	9.3018	34.7867	89.72134	9.45554	1.17E+01	30.0433	0.00E+00	12	17.559	9.848	32.656	90.122	9.354	9.276	29.838
cast5	13	18.946	9.2737	34.8804	88.90315	9.45988	8.32E+00	30.1145	0.00E+00	13	19.085	9.809	32.664	90.208	9.358	7.042	29.907
cast5	14	20.6	9.2298	34.882	91.08377	9.4646	6.35E+00	30.15	0.00E+00	14	20.542	9.762	32.706	90.756	9.365	5.558	29.952
cast5	15	21.938	9.1897	34.8832	89.5971	9.4729	4.84E+00	30.1723	0.00E+00	15	21.946	9.728	32.669	90.375	9.370	4.382	30.005
cast5	16	23.377	9.1685	34.9079	89.53499	9.47629	3.75E+00	30.2192	0.00E+00	16	23.427	9.703	32.736	90.200	9.373	3.556	30.061
cast5	17	25.054	9.1434	34.8886	91.94416	9.47897	3.12E+00	30.2409	0.00E+00	17	24.925	9.677	32.754	90.893	9.377	3.043	30.085
cast5	18	26.422	9.1042	34.9871	90.23135	9.48498	2.66E+00	30.2552	0.00E+00	18	26.356	9.656	32.770	90.558	9.380	2.638	30.114
cast5	19	27.708	9.0808	35.0474	88.77126	9.48902	2.29E+00	30.296	0.00E+00	19	27.832	9.631	32.805	90.487	9.382	2.334	30.153
cast5	20	29.381	9.0608	35.1085	90.76138	9.49159	2.04E+00	30.3404	0.00E+00	20	29.362	9.604	32.825	91.060	9.385	2.132	30.198
cast5	21	30.908	9.0329	35.2537	91.42956	9.49585	1.89E+00	30.3416	0.00E+00	21	30.787	9.582	32.823	90.756	9.388	1.982	30.231
cast5	22	32.262	9.0116	35.2869	91.20587	9.49987	1.78E+00	30.3631	0.00E+00	22	32.227	9.555	32.833	90.578	9.391	1.872	30.267
cast5	23	33.751	8.998	35.2095	91.89816	9.5025	1.71E+00	30.3801	0.00E+00	23	33.711	9.516	32.836	90.935	9.396	1.797	30.299
cast5	24	35.293	8.9812	35.0829	92.29295	9.50555	1.66E+00	30.3804	0.00E+00	24	35.135	9.483	32.830	90.847	9.401	1.741	30.338
cast5	25	36.61	8.9757	34.9808	91.27847	9.50795	1.62E+00	30.3823	0.00E+00	25	36.560	9.456	32.847	90.683	9.405	1.697	30.379
cast5	26	37.895	8.9718	35.0014	90.05396	9.50861	1.60E+00	30.3859	0.00E+00	26	38.013	9.435	32.850	90.550	9.408	1.665	30.416
cast5	27	39.385	8.9688	35.0485	90.0351	9.50927	1.57E+00	30.3927	0.00E+00	27	39.443	9.418	32.873	90.434	9.411	1.636	30.437
cast5	28	41.159	8.9699	35.0653	91.79857	9.5093	1.57E+00	30.3915	0.00E+00	28	40.995	9.337	33.032	90.447	9.423	1.618	30.494
cast5	29	42.687	8.9659	35.0492	92.25061	9.51038	1.57E+00	30.3779	0.00E+00	29	42.437	9.312	33.045	90.408	9.427	1.602	30.519
cast5	30	43.92	8.9592	35.0285	91.01848	9.5118	1.56E+00	30.3697	0.00E+00	30	43.878	9.290	33.043	89.878	9.430	1.591	30.555
cast5	31	45.171	8.9539	35.0771	89.06763	9.51314	1.56E+00	30.3724	0.00E+00	31	45.315	9.270	33.092	89.961	9.433	1.582	30.576
cast5	32	46.617	8.9549	34.9999	88.70579	9.51316	1.55E+00	30.3841	0.00E+00	32	46.815	9.247	33.142	89.957	9.435	1.577	30.604
cast5	33	48.467	8.953	34.9979	91.54288	9.51243	1.56E+00	30.3891	0.00E+00	33	48.323	9.222	33.145	90.115	9.438	1.573	30.641
cast5	34	49.963	8.9418	34.955	91.29729	9.51495	1.56E+00	30.3769	0.00E+00	34	49.806	9.218	33.173	90.484	9.438	1.570	30.675
cast5	35	51.137	8.9394	35.0085	89.35758	9.51629	1.55E+00	30.379	0.00E+00	35	51.244	9.205	33.160	90.441	9.440	1.567	30.696
cast5	36	52.56	8.94	35.0195	89.3443	9.51563	1.55E+00	30.3914	0.00E+00	36	52.700	9.194	33.299	90.283	9.442	1.565	30.711
cast5	37	54.383	8.9338	35.0277	91.75564	9.51602	1.55E+00	30.3933	0.00E+00	37	54.158	9.179	33.289	90.656	9.443	1.563	30.727
cast5	38	55.766	8.9304	35.0186	91.12921	9.51763	1.55E+00	30.3859	0.00E+00	38	55.510	9.165	33.182	90.394	9.445	1.556	30.749
cast5	39	56.953	8.9236	34.9956	89.57752	9.51856	1.55E+00	30.3844	0.00E+00	39	57.065	9.136	33.226	90.585	9.449	1.559	30.781
cast5	40	58.418	8.9236	35.1649	89.73784	9.51884	1.55E+00	30.3958	0.00E+00	40	58.527	9.127	33.299	90.384	9.451	1.554	30.795
cast5	41	60.132	8.9235	35.0577	91.36234	9.51898	1.55E+00	30.3933	0.00E+00	41	60.013	9.121	33.369	90.340	9.452	1.558	30.808
cast5	42	61.572	8.9224	35.2081	91.36403	9.51953	1.55E+00	30.3874	0.00E+00	42	61.505	9.114	33.407	90.427	9.453	1.558	30.818
