	Depth	Pressure	Temp deg. C	Fluorescence 	Oxygen % Sat	Oxygen mg/l	PAR	Salinity	flag	Depth [m]	Pressure [psi]	Temp deg. C	Chlor a [mg/m^3]	Oxygen % Sat	Oxygen mg/l	PAR	Salinity [PSU]
cast3	1	1.637	9.728	32.5017	93.08986	9.37349	2.35E+03	29.9675	0.00E+00	1	1.770	10.419	31.683	89.039	9.231	1014.071	29.696
cast3	2	2.843	9.7799	34.4056	87.90149	9.36884	1.31E+03	30.0118	0.00E+00	2	3.110	10.322	30.374	88.037	9.257	565.781	29.844
cast3	3	4.669	9.7458	34.938	86.26087	9.36125	8.33E+02	29.9374	0.00E+00	3	4.544	10.266	31.311	87.856	9.266	382.298	29.901
cast3	4	5.805	9.769	34.8962	82.88917	9.36609	5.53E+02	30.0963	0.00E+00	4	5.944	10.184	31.793	87.035	9.276	260.503	29.937
cast3	5	7.345	9.6892	34.9901	84.03068	9.37229	3.70E+02	29.9585	0.00E+00	5	7.400	10.112	31.991	86.953	9.288	182.785	30.001
cast3	6	8.758	9.5245	35.112	83.86038	9.40368	2.40E+02	30.0764	0.00E+00	6	8.855	10.050	32.199	87.916	9.299	129.237	30.070
cast3	7	10.283	9.4014	35.3011	88.84695	9.43454	1.64E+02	30.0159	0.00E+00	7	10.326	9.927	32.386	89.912	9.310	96.765	30.134
cast3	8	11.824	9.3517	35.4299	88.66721	9.44842	1.08E+02	30.0519	0.00E+00	8	11.777	9.807	32.499	90.508	9.329	73.131	30.267
cast3	9	13.352	9.3226	35.4506	91.09772	9.45281	7.86E+01	30.0524	0.00E+00	9	13.253	9.736	32.649	91.538	9.343	56.144	30.368
cast3	10	14.788	9.2931	35.4686	91.47038	9.45612	5.29E+01	30.0967	0.00E+00	10	14.679	9.686	32.729	92.057	9.352	43.864	30.403
cast3	11	16.27	9.2584	35.4566	92.2991	9.46041	3.76E+01	30.1289	0.00E+00	11	16.110	9.640	32.873	91.859	9.359	34.594	30.462
cast3	12	17.701	9.2203	35.5052	91.83434	9.46657	2.74E+01	30.1589	0.00E+00	12	17.583	9.596	32.942	91.969	9.365	27.492	30.521
cast3	13	19.073	9.2027	35.5079	91.31567	9.47074	1.96E+01	30.186	0.00E+00	13	19.071	9.559	32.950	91.864	9.371	22.176	30.571
cast3	14	20.617	9.1921	35.5868	91.95515	9.47244	1.43E+01	30.2042	0.00E+00	14	20.551	9.522	32.994	91.894	9.376	18.137	30.615
cast3	15	22.228	9.1776	35.4968	92.79566	9.47407	1.06E+01	30.2186	0.00E+00	15	22.002	9.484	33.007	91.660	9.381	14.998	30.650
cast3	16	23.678	9.1645	35.4488	92.94771	9.4762	8.00E+00	30.2268	0.00E+00	16	23.449	9.451	33.032	91.510	9.386	12.527	30.686
cast3	17	25.004	9.1562	35.5139	92.892	9.47784	6.17E+00	30.2385	0.00E+00	17	24.905	9.417	33.114	91.628	9.392	10.558	30.717
cast3	18	26.39	9.1478	35.5448	92.87547	9.47843	4.82E+00	30.2543	0.00E+00	18	26.369	9.390	33.118	91.456	9.396	8.930	30.752
cast3	19	27.882	9.14	35.5644	92.89512	9.47917	3.88E+00	30.2765	0.00E+00	19	27.846	9.368	33.135	91.479	9.400	7.616	30.775
cast3	20	29.371	9.1376	35.5564	92.81383	9.48042	3.22E+00	30.277	0.00E+00	20	29.302	9.349	33.145	91.304	9.403	6.571	30.796
cast3	21	30.818	9.122	35.5528	92.75815	9.48	2.76E+00	30.2979	0.00E+00	21	30.752	9.331	33.204	91.283	9.406	5.722	30.814
cast3	22	32.266	9.1055	35.5401	92.66427	9.48175	2.41E+00	30.3264	0.00E+00	22	32.207	9.307	33.176	91.276	9.409	5.019	30.833
cast3	23	33.689	9.0965	35.5371	92.55961	9.48376	2.14E+00	30.3464	0.00E+00	23	33.673	9.288	33.209	91.508	9.412	4.446	30.855
cast3	24	35.125	9.0796	35.5342	92.49365	9.48455	1.99E+00	30.3613	0.00E+00	24	35.146	9.265	33.354	91.535	9.415	3.972	30.869
cast3	25	36.57	9.0382	35.5492	92.60817	9.48598	1.87E+00	30.4084	0.00E+00	25	36.604	9.258	33.268	91.096	9.417	3.584	30.891
cast3	26	38.053	8.9856	35.5524	92.77014	9.49138	1.79E+00	30.4778	0.00E+00	26	38.017	9.237	33.292	90.717	9.421	3.266	30.908
cast3	27	39.555	8.934	35.5112	92.81992	9.49921	1.73E+00	30.5378	0.00E+00	27	39.476	9.241	33.373	90.042	9.420	2.994	30.923
cast3	28	41.008	8.9027	35.5385	92.50872	9.5069	1.68E+00	30.5811	0.00E+00	28	40.916	9.228	33.448	89.676	9.421	2.741	30.922
cast3	29	42.42	8.8876	35.5291	92.07586	9.51062	1.65E+00	30.6064	0.00E+00	29	42.400	9.203	33.482	89.537	9.426	2.610	30.950
cast3	30	43.828	8.8678	35.5241	91.73927	9.51281	1.62E+00	30.6249	0.00E+00	30	43.899	9.197	33.343	90.569	9.428	2.433	30.958
cast3	31	45.288	8.8245	35.5234	91.72094	9.51628	1.61E+00	30.6583	0.00E+00	31	45.452	9.226	33.311	91.161	9.421	2.342	30.943
cast3	32	46.826	8.7757	35.4262	91.93509	9.52311	1.59E+00	30.7125	0.00E+00	32	46.907	9.211	33.304	91.372	9.424	2.232	30.950
cast3	33	48.396	8.7427	35.469	92.17925	9.53023	1.58E+00	30.7568	0.00E+00	33	48.331	9.201	33.415	91.169	9.426	2.136	30.956
cast3	34	49.879	8.6974	35.565	92.245	9.53444	1.58E+00	30.7904	0.00E+00	34	49.774	9.194	33.447	91.059	9.427	2.053	30.965
cast3	35	51.276	8.642	35.5931	92.06945	9.54118	1.57E+00	30.8445	0.00E+00	35	51.237	9.183	33.435	90.779	9.428	1.980	30.972
cast3	36	52.643	8.5925	35.6271	91.75961	9.54895	1.57E+00	30.9069	0.00E+00	36	52.691	9.172	33.390	90.806	9.430	1.918	30.981
cast3	37	54.022	8.5543	35.6272	91.44659	9.55611	1.57E+00	30.9623	0.00E+00	37	54.179	9.165	33.347	91.038	9.432	1.865	30.987
cast3	38	55.505	8.5182	35.6906	91.36831	9.56084	1.56E+00	31.0265	0.00E+00	38	55.642	9.157	33.394	91.081	9.433	1.822	30.991
cast3	39	57.088	8.5018	36.2327	91.59463	9.56552	1.56E+00	31.0684	0.00E+00	39	57.109	9.151	33.435	91.133	9.435	1.786	30.996
cast3	40	58.654	8.4911	36.0173	91.85753	9.56695	1.56E+00	31.0854	0.00E+00	40	58.563	9.144	33.352	90.809	9.435	1.754	30.999
cast3	41	60.096	8.4709	35.9361	91.94727	9.56729	1.56E+00	31.1192	0.00E+00	41	59.992	9.136	33.463	90.543	9.437	1.725	31.007
cast3	42	61.505	8.4531	36.0729	91.84534	9.56896	1.56E+00	31.165	0.00E+00	42	61.469	9.128	33.480	90.655	9.438	1.700	31.018
cast3	43	62.898	8.444	36.177	91.70068	9.57098	1.56E+00	31.1901	0.00E+00	43	62.999	9.123	33.529	90.875	9.438	1.677	31.033
cast3	44	64.317	8.4379	36.2416	91.58404	9.57138	1.56E+00	31.211	0.00E+00	44	64.503	9.115	33.567	91.504	9.439	1.663	31.038
cast3	45	65.822	8.4285	36.1964	91.53243	9.57111	1.56E+00	31.2393	0.00E+00	45	65.938	9.108	33.556	91.456	9.440	1.646	31.046
cast3	46	67.343	8.4226	36.2007	91.5743	9.57183	1.56E+00	31.2618	0.00E+00	46	67.339	9.103	33.651	91.238	9.441	1.634	31.053
cast3	47	68.809	8.4161	36.1548	91.57035	9.5721	1.56E+00	31.2722	0.00E+00	47	68.757	9.098	33.706	91.105	9.442	1.623	31.059
cast3	48	70.215	8.4051	36.4059	91.40492	9.57125	1.56E+00	31.3156	0.00E+00	48	70.231	9.094	33.719	91.013	9.442	1.613	31.067
cast3	49	71.609	8.3975	36.4752	91.08921	9.57213	1.55E+00	31.3331	0.00E+00	49	71.742	9.089	33.772	91.271	9.443	1.606	31.075
cast3	50	73.082	8.3775	36.4659	90.70057	9.57168	1.55E+00	31.3843	0.00E+00	50	73.193	9.085	33.808	91.379	9.443	1.598	31.082
cast3	51	74.6	8.3657	36.6686	90.41118	9.57388	1.56E+00	31.4199	0.00E+00	51	74.571	9.080	33.768	91.068	9.444	1.591	31.088
cast3	52	76.078	8.3598	36.7041	90.51143	9.5746	1.55E+00	31.4331	0.00E+00	52	76.078	9.039	33.834	90.680	9.451	1.589	31.109
cast3	53	77.594	8.3528	36.749	90.59487	9.57507	1.56E+00	31.4484	0.00E+00	53	77.545	9.035	33.777	90.583	9.452	1.584	31.116
cast3	54	78.987	8.345	36.7238	90.10994	9.57571	1.55E+00	31.4639	0.00E+00	54	79.014	9.031	33.701	90.608	9.452	1.580	31.122
cast3	55	80.385	8.3405	36.6483	89.36364	9.57639	1.55E+00	31.4756	0.00E+00	55	80.536	9.027	33.736	90.660	9.453	1.577	31.127
cast3	56	81.875	8.3391	36.7044	89.22807	9.57662	1.56E+00	31.4859	0.00E+00	56	82.007	9.024	33.758	90.847	9.453	1.568	31.129
cast3	57	83.452	8.3395	36.9965	89.08851	9.57636	1.56E+00	31.487	0.00E+00	57	83.531	9.020	33.868	91.066	9.454	1.574	31.134
cast3	58	84.805	8.3355	36.6962	87.77224	9.57674	1.55E+00	31.4897	0.00E+00	58	84.944	9.015	33.814	90.826	9.455	1.568	31.137
cast3	59	86.707	8.3556	36.8703	89.84031	9.57242	1.56E+00	31.5113	0.00E+00	59	86.424	9.015	33.731	90.905	9.455	1.566	31.143
cast3	60	88.113	8.3333	36.9407	91.5511	9.57599	1.55E+00	31.4844	0.00E+00	60	87.891	9.012	33.743	91.133	9.455	1.564	31.143
cast3	61	89.458	8.3289	37.0381	91.9329	9.57796	1.55E+00	31.4921	0.00E+00	61	89.313	9.011	33.844	91.195	9.455	1.563	31.144
cast3	62	90.858	8.3295	36.7499	91.85659	9.57849	1.56E+00	31.491	0.00E+00	62	90.739	9.009	33.892	91.242	9.456	1.563	31.145
cast3	63	92.222	8.3296	36.7935	91.27311	9.57853	1.56E+00	31.4876	0.00E+00	63	92.169	9.009	33.949	91.041	9.456	1.555	31.148
cast3	64	93.567	8.327	36.8982	90.54401	9.57842	1.55E+00	31.4905	0.00E+00	64	93.710	8.945	34.074	91.221	9.467	1.561	31.186
cast3	65	94.975	8.3226	37.0255	90.22254	9.57857	1.55E+00	31.5021	0.00E+00	65	95.121	8.944	33.978	90.769	9.467	1.558	31.189
cast3	66	96.356	8.3217	37.3985	-9.99E-29	9.57908	1.56E+00	31.5065	0.00E+00	66	96.608	8.945	33.980	91.280	9.469	1.559	31.155
cast3	67	97.507	8.3182	37.4241	-9.99E-29	9.57899	1.55E+00	31.5096	0.00E+00	67	97.998	8.943	34.085	90.939	9.469	1.558	31.157
cast3	68	98.377	8.3128	36.8565	-9.99E-29	9.57957	1.55E+00	31.5188	0.00E+00	68	99.392	8.941	33.979	91.098	9.469	1.558	31.159
cast10	1	1.539	10.3442	26.3576	83.77487	9.22127	1.60E+03	30.3383	0.00E+00	69	100.918	8.997	33.610	90.977	9.459	1.558	31.128
cast10	2	2.968	10.0179	34.1112	92.56769	9.26753	1.27E+03	30.233	0.00E+00	70	102.292	8.996	33.509	90.602	9.459	1.558	31.129
cast10	3	4.401	9.4778	33.8034	85.14547	9.36784	8.49E+02	30.6373	0.00E+00	71	103.616	8.993	33.546	90.060	9.460	1.557	31.132
cast10	4	5.941	9.2778	33.9673	84.86792	9.41445	6.26E+02	30.7251	0.00E+00	72	105.243	9.052	33.514	84.065	9.450	1.556	31.092
