	Depth	Pressure	Temp deg. C	Fluorescence 	Oxygen % Sat	Oxygen mg/l	PAR	Salinity	flag	Depth [m]	Pressure [psi]	Temp deg. C	Chlor a [mg/m^3]	Oxygen % Sat	Oxygen mg/l	PAR	Salinity [PSU]
cast4	34	49.811	8.6718	34.6209	90.27699	9.5434	1.55E+00	30.8073	0.00E+00	34	49.79494444	9.238933333	32.98513889	90.46315833	9.42787	1.664294444	30.78418889
cast4	35	51.124	8.6473	34.7435	89.19178	9.54769	1.55E+00	30.8461	0.00E+00	35	51.26444444	9.21695	33.01475	90.92262222	9.429936111	1.644472222	30.79980556
cast4	36	52.691	8.6266	34.6542	89.41642	9.55021	1.55E+00	30.8844	0.00E+00	36	52.70583333	9.199822222	33.05948889	90.95006	9.43361	1.626622222	30.82216111
cast4	37	54.258	8.6005	34.9126	90.25588	9.5541	1.55E+00	30.9041	0.00E+00	37	54.15833333	9.198161111	33.13408333	90.63702059	9.433751111	1.616766667	30.83307778
cast4	38	55.641	8.5849	34.6457	89.92644	9.55738	1.55E+00	30.9202	0.00E+00	38	55.57838889	9.179505556	33.16808333	85.98827412	9.435747222	1.60675	30.85019444
cast4	39	57.07	8.5656	34.5569	89.69933	9.55953	1.55E+00	30.939	0.00E+00	39	56.98211765	9.208852941	33.11116471	91.74574941	9.431105882	1.598064706	30.83099412
cast4	40	58.571	8.537	34.6482	89.8213	9.56371	1.55E+00	30.9661	0.00E+00	40	58.5191875	9.14114375	33.2311125	91.35620063	9.4423925	1.5940125	30.88545
cast4	41	60.007	8.5154	34.6512	89.47451	9.56756	1.55E+00	30.989	0.00E+00	41	60.0150625	9.1339875	33.1975625	91.40826625	9.443808125	1.58698125	30.8961375
cast4	42	61.474	8.5026	34.7931	88.88844	9.5701	1.55E+00	31.0068	0.00E+00	42	61.4965625	9.1292	33.35264375	91.29792625	9.44474125	1.581	30.90108125
cast4	43	62.956	8.4936	34.8457	88.37485	9.57188	1.55E+00	31.0145	0.00E+00	43	62.9411875	9.12125625	33.41875	90.99444125	9.445466875	1.5768875	30.90528125
cast4	44	64.44	8.4842	34.8263	88.75214	9.57323	1.55E+00	31.0223	0.00E+00	44	64.3708125	9.1087	33.350225	90.6875975	9.44675625	1.57258125	30.9152125
cast4	45	65.924	8.474	34.6733	89.29895	9.57481	1.55E+00	31.0327	0.00E+00	45	65.8159375	9.10068125	33.32288125	90.45694438	9.448584375	1.57159375	30.9280125
cast4	46	67.313	8.465	34.8396	88.88063	9.57606	1.55E+00	31.0434	0.00E+00	46	67.3580625	9.0906375	33.46819375	90.69549063	9.449586875	1.566375	30.9389
cast4	47	68.751	8.4589	34.6561	88.42442	9.57708	1.55E+00	31.058	0.00E+00	47	68.7871875	9.08394375	33.42545	90.49278125	9.450803125	1.56573125	30.9514
cast4	48	70.262	8.4578	34.594	88.54328	9.57736	1.55E+00	31.0579	0.00E+00	48	70.214125	9.0972	33.441975	90.11007563	9.448514375	1.5667875	30.954725
cast4	49	71.781	8.4498	34.5569	89.48305	9.57779	1.55E+00	31.0738	0.00E+00	49	71.73093333	9.104506667	33.42941333	90.831722	9.445905333	1.565706667	30.95460667
cast4	50	73.312	8.4453	34.6147	90.30782	9.5788	1.55E+00	31.0757	0.00E+00	50	73.21466667	9.092213333	33.39041333	91.07088333	9.447322	1.562166667	30.96893333
cast4	51	74.62	8.4363	34.6836	88.62671	9.57943	1.55E+00	31.0864	0.00E+00	51	74.67986667	9.07512	33.43299333	91.02878933	9.449104	1.56154	30.98959333
cast4	52	75.897	8.4334	34.6908	86.90824	9.57993	1.55E+00	31.1044	0.00E+00	52	76.09506667	9.066186667	33.44022	90.61919267	9.450864	1.56454	31.00519333
cast4	53	77.237	8.4321	35.1799	-9.99E-29	9.57958	1.55E+00	31.1076	0.00E+00	53	77.58207143	9.045985714	33.45203571	91.14057154	9.453588571	1.5595	31.02956429
cast9	1	1.537	9.9297	32.5033	91.35667	9.32874	2.24E+03	29.7314	0.00E+00	54	79.053	9.087069231	33.37872308	91.03557231	9.445207692	1.560746154	31.03302308
cast9	2	2.981	9.7391	26.8036	87.81479	9.3635	1.06E+03	29.933	0.00E+00	55	80.50169231	9.082130769	33.55383077	90.97826615	9.445956154	1.559330769	31.03986923
cast9	3	4.491	9.6004	27.333	88.53861	9.39424	6.17E+02	29.9484	0.00E+00	56	81.94992308	9.079623077	33.605	90.95920538	9.446611538	1.558592308	31.0449
cast9	4	5.779	9.5515	27.8222	85.71167	9.40386	3.44E+02	30.0929	0.00E+00	57	83.34130769	9.079007692	33.46764615	90.62101615	9.446748462	1.554938462	31.04743846
cast9	5	7.275	9.5623	28.2897	83.73261	9.39945	1.91E+02	30.1225	0.00E+00	58	84.93272727	8.998981818	33.58487273	91.36752818	9.458785455	1.558436364	31.12355455
cast9	6	8.849	9.4872	28.7781	85.68357	9.41682	1.18E+02	30.0576	0.00E+00	59	86.38872727	8.995209091	33.45350909	91.28938273	9.459193636	1.557736364	31.12678182
cast9	7	10.354	9.4511	29.2068	89.27432	9.42969	7.88E+01	30.007	0.00E+00	60	87.826	8.9908	33.41064545	91.1129	9.459813636	1.557754545	31.13125455
cast9	8	11.602	9.4289	29.4072	85.9521	9.43444	5.12E+01	29.9957	0.00E+00	61	89.29654545	8.989290909	33.54830909	91.12	9.46033	1.557127273	31.13556364
cast9	9	13.136	9.3987	29.5731	82.2777	9.43477	3.19E+01	30.095	0.00E+00	62	90.76081818	8.987163636	33.61147273	91.09668364	9.460508182	1.556636364	31.13859091
cast9	10	14.676	9.3289	29.7047	87.07774	9.4452	2.38E+01	30.0996	0.00E+00	63	92.188	8.985609091	33.57446364	90.94932545	9.460765455	1.556563636	31.14095455
cast9	11	16.067	9.2563	29.9258	88.632	9.45737	1.66E+01	30.1722	0.00E+00	64	93.521	8.984381818	33.63073636	90.32029091	9.461086364	1.556463636	31.14126364
cast9	12	17.495	9.2096	30.1729	86.57708	9.4647	1.19E+01	30.2481	0.00E+00	65	94.9118	8.94679	33.57682	90.146421	9.469025	1.55059	31.14334
cast9	13	19.011	9.1889	30.356	83.22508	9.46619	9.24E+00	30.3249	0.00E+00	66	96.58977778	9.001122222	33.64528889	90.46449222	9.45935	1.559666667	31.11081111
cast9	14	20.699	9.14	31.5272	89.54594	9.47008	6.95E+00	30.3629	0.00E+00	67	97.98577778	8.999277778	33.55561111	90.63358667	9.459707778	1.550166667	31.11265556
cast9	15	21.972	9.0827	33.2118	89.80569	9.47964	5.79E+00	30.4204	0.00E+00	68	99.443375	9.0531875	33.400975	90.86904625	9.451475	1.5566625	31.0611875
cast9	16	23.307	9.0725	33.1634	86.91978	9.48235	4.74E+00	30.4736	0.00E+00	69	100.754	9.0522375	33.4129125	89.92038	9.4513525	1.555275	31.0673
cast9	17	24.927	9.0689	33.2868	87.79755	9.48044	3.94E+00	30.511	0.00E+00	70	102.1557143	9.1515	33.24928571	89.48555286	9.432747143	1.5413	31.02757143
cast9	18	26.416	9.0627	33.3752	88.8087	9.47765	3.41E+00	30.5795	0.00E+00	71	103.6221667	9.261383333	33.31636667	89.99078333	9.41287	1.55605	30.97451667
cast9	19	27.818	9.0254	33.5186	88.76574	9.47522	2.98E+00	30.6782	0.00E+00	72	104.8706667	9.26355	33.20106667	87.49939667	9.412231667	1.553266667	30.98138333
cast9	20	29.323	8.9247	33.612	89.98069	9.48531	2.71E+00	30.7903	0.00E+00	73	106.0875	9.13095	33.4564	87.805295	9.427015	1.553025	31.200825
cast9	21	30.694	8.8058	33.8329	88.25609	9.50191	2.50E+00	30.9181	0.00E+00	74	106.996	9.217266667	33.51813333	87.82141667	9.408326667	1.476866667	31.22666667
cast9	22	32.128	8.6972	33.6881	83.54401	9.51823	2.31E+00	31.0869	0.00E+00	75	109.372	8.4125	34.6105	89.55995	9.55485	1.553	31.5829
cast9	23	33.805	8.7448	34.0054	84.35802	9.51126	2.19E+00	31.1393	0.00E+00	76	110.514	8.4131	34.7593	86.24001	9.55483	1.4662	31.5822
cast9	24	35.134	8.5865	34.0275	86.55395	9.53457	2.09E+00	31.145	0.00E+00	77	112.017	8.451	35.1502	81.16467	9.548	1.589	31.6257
cast9	25	36.551	8.5118	34.024	86.31937	9.54892	2.01E+00	31.2502	0.00E+00								
cast9	26	38.028	8.4823	34.2486	85.7379	9.55653	1.94E+00	31.3005	0.00E+00								
cast9	27	39.532	8.5429	34.1104	82.26511	9.54717	1.88E+00	31.3799	0.00E+00								
cast9	28	41.061	8.5431	34.7074	84.52102	9.53537	1.83E+00	31.2519	0.00E+00								
cast9	29	42.378	8.4455	34.7424	83.99113	9.55935	1.79E+00	31.319	0.00E+00								
cast9	30	43.867	8.445	34.55	78.90126	9.55841	1.75E+00	31.4678	0.00E+00								
cast9	31	45.417	8.6724	34.5886	76.36274	9.52588	1.72E+00	31.3423	0.00E+00								
cast9	32	46.89	8.5348	34.662	82.01439	9.52789	1.70E+00	31.2682	0.00E+00								
cast9	33	48.23	8.3772	34.7252	83.63106	9.56803	1.68E+00	31.4211	0.00E+00								
cast9	34	49.812	8.6148	34.7544	79.75397	9.53672	1.66E+00	31.4354	0.00E+00								
