Cruise	Lon (?E)	Lat (?N)	Bot. Depth [m]	Station	Depth [m]	Pressure [psi]	Temp [deg. C]	Chlorophyl a [mg/m^3]	Oxygen [% Sat]	Oxygen [mg/l]	PAR	Salinity [PSU]
2018	-152.225	59.837	68	5	21	30.762	9.132	33.133	91.904	9.418	17.877	31.316
2018	-152.225	59.837	68	5	22	32.198	9.127	33.294	91.651	9.42	15.555	31.318
2018	-152.225	59.837	68	5	23	33.601	9.123	33.108	91.3	9.42	13.503	31.32
2018	-152.225	59.837	68	5	24	35.062	9.122	33.118	91.161	9.421	11.766	31.324
2018	-152.225	59.837	68	5	25	36.576	9.117	33.179	91.154	9.421	10.235	31.325
2018	-152.225	59.837	68	5	26	38.049	9.109	33.204	91.377	9.422	8.954	31.325
2018	-152.225	59.837	68	5	27	39.48	9.1	33.212	91.353	9.424	7.869	31.33
2018	-152.225	59.837	68	5	28	40.919	9.092	33.309	91.363	9.425	6.962	31.335
2018	-152.225	59.837	68	5	29	42.441	9.058	33.358	91.251	9.431	6.332	31.349
2018	-152.225	59.837	68	5	30	43.889	9.049	33.384	91.369	9.433	5.646	31.356
2018	-152.225	59.837	68	5	31	45.32	9.045	33.404	91.099	9.434	5.064	31.359
2018	-152.225	59.837	68	5	32	46.827	9.089	33.172	90.731	9.425	4.543	31.355
2018	-152.225	59.837	68	5	33	48.287	9.086	33.275	91.005	9.426	4.128	31.358
2018	-152.225	59.837	68	5	34	49.822	9.084	33.34	91.466	9.426	3.763	31.362
2018	-152.225	59.837	68	5	35	51.334	9.081	33.505	91.887	9.427	3.471	31.36
2018	-152.225	59.837	68	5	36	52.747	9.077	33.399	91.748	9.427	3.223	31.363
2018	-152.225	59.837	68	5	37	54.143	9.073	33.368	91.45	9.428	3.002	31.366
2018	-152.225	59.837	68	5	38	55.555	9.069	33.516	90.981	9.429	2.803	31.37
2018	-152.225	59.837	68	5	39	56.997	9.069	33.493	90.571	9.429	2.627	31.378
2018	-152.225	59.837	68	5	40	58.567	9.036	33.39	91.277	9.434	2.545	31.403
2018	-152.225	59.837	68	5	41	60.055	9.034	33.562	91.31	9.434	2.419	31.405
2018	-152.225	59.837	68	5	42	61.527	9.032	33.566	91.417	9.434	2.306	31.406
2018	-152.225	59.837	68	5	43	62.99	9.032	33.639	91.488	9.434	2.207	31.407
2018	-152.225	59.837	68	5	44	64.399	9.03	33.634	91.088	9.435	2.124	31.406
2018	-152.225	59.837	68	5	45	65.829	9.029	33.546	90.712	9.435	2.05	31.407
2018	-152.225	59.837	68	5	46	67.297	9.027	33.46	90.813	9.435	1.987	31.408
2018	-152.225	59.837	68	5	47	68.744	9.025	33.406	90.682	9.436	1.933	31.41
2018	-152.225	59.837	68	5	48	70.204	9.024	33.575	90.52	9.436	1.885	31.412
2018	-152.225	59.837	68	5	49	71.676	9.024	33.541	90.525	9.436	1.843	31.413
2018	-152.225	59.837	68	5	50	73.19	9.046	33.496	90.989	9.432	1.82	31.403
2018	-152.225	59.837	68	5	51	74.561	9.045	33.397	90.874	9.432	1.788	31.402
2018	-152.225	59.837	68	5	52	75.835	9.049	33.477	90.405	9.432	1.753	31.404
2018	-152.225	59.837	68	5	53	77.458	8.97	33.738	90.618	9.446	1.76	31.424
2018	-152.225	59.837	68	5	54	78.805	8.97	33.786	89.921	9.446	1.734	31.425
2018	-152.225	59.837	68	5	55	80.226	8.943	33.871	89.61	9.452	1.681	31.423
2018	-152.225	59.837	68	5	56	81.727	9.005	33.665	89.845	9.442	1.628	31.385
2018	-152.225	59.837	68	5	57	83.392	8.972	33.435	91.188	9.448	1.647	31.389
2018	-152.225	59.837	68	5	58	84.787	8.972	33.473	91.04	9.448	1.635	31.389
2018	-152.225	59.837	68	5	59	86.097	8.971	33.563	90.364	9.448	1.625	31.389
2018	-152.225	59.837	68	5	60	87.325	8.979	33.643	88.176	9.447	1.853	31.395
2018	-152.225	59.837	68	5	61	88.577	8.981	33.817	87.257	9.449	1.521	31.359
2018	-152.225	59.837	68	5	62	90.304	9.079	32.994	87.234	9.433	1.575	31.279
2018	-152.225	59.837	68	5	63	91.567	9.386	33.703	90.621	9.377	1.565	31.134
2018	-152.225	59.837	68	5	64	92.802	9.396	33.281	88.997	9.375	7.506	31.143
2018	-152.225	59.837	68	5	65	94.08	9.524	32.959	91.55	9.347	1.553	31.155
2018	-152.225	59.837	68	5	66	94.564	9.526	33.131	90.835	9.347	2.109	31.156
2018	-152.293333	59.850	88	6	1	1.77	10.419	31.683	89.039	9.231	1014.071	29.696
2018	-152.293333	59.850	88	6	2	3.11	10.322	30.374	88.037	9.257	565.781	29.844
2018	-152.293333	59.850	88	6	3	4.544	10.266	31.311	87.856	9.266	382.298	29.901
2018	-152.293333	59.850	88	6	4	5.944	10.184	31.793	87.035	9.276	260.503	29.937
2018	-152.293333	59.850	88	6	5	7.4	10.112	31.991	86.953	9.288	182.785	30.001
2018	-152.293333	59.850	88	6	6	8.855	10.05	32.199	87.916	9.299	129.237	30.07
2018	-152.293333	59.850	88	6	7	10.326	9.927	32.386	89.912	9.31	96.765	30.134
2018	-152.293333	59.850	88	6	8	11.777	9.807	32.499	90.508	9.329	73.131	30.267
2018	-152.293333	59.850	88	6	9	13.253	9.736	32.649	91.538	9.343	56.144	30.368
2018	-152.293333	59.850	88	6	10	14.679	9.686	32.729	92.057	9.352	43.864	30.403
2018	-152.293333	59.850	88	6	11	16.11	9.64	32.873	91.859	9.359	34.594	30.462
2018	-152.293333	59.850	88	6	12	17.583	9.596	32.942	91.969	9.365	27.492	30.521
2018	-152.293333	59.850	88	6	13	19.071	9.559	32.95	91.864	9.371	22.176	30.571
2018	-152.293333	59.850	88	6	14	20.551	9.522	32.994	91.894	9.376	18.137	30.615
2018	-152.293333	59.850	88	6	15	22.002	9.484	33.007	91.66	9.381	14.998	30.65
2018	-152.293333	59.850	88	6	16	23.449	9.451	33.032	91.51	9.386	12.527	30.686
2018	-152.293333	59.850	88	6	17	24.905	9.417	33.114	91.628	9.392	10.558	30.717
2018	-152.293333	59.850	88	6	18	26.369	9.39	33.118	91.456	9.396	8.93	30.752
2018	-152.293333	59.850	88	6	19	27.846	9.368	33.135	91.479	9.4	7.616	30.775
2018	-152.293333	59.850	88	6	20	29.302	9.349	33.145	91.304	9.403	6.571	30.796
2018	-152.293333	59.850	88	6	21	30.752	9.331	33.204	91.283	9.406	5.722	30.814
2018	-152.293333	59.850	88	6	22	32.207	9.307	33.176	91.276	9.409	5.019	30.833
2018	-152.293333	59.850	88	6	23	33.673	9.288	33.209	91.508	9.412	4.446	30.855
2018	-152.293333	59.850	88	6	24	35.146	9.265	33.354	91.535	9.415	3.972	30.869
2018	-152.293333	59.850	88	6	25	36.604	9.258	33.268	91.096	9.417	3.584	30.891
2018	-152.293333	59.850	88	6	26	38.017	9.237	33.292	90.717	9.421	3.266	30.908
2018	-152.293333	59.850	88	6	27	39.476	9.241	33.373	90.042	9.42	2.994	30.923
2018	-152.293333	59.850	88	6	28	40.916	9.228	33.448	89.676	9.421	2.741	30.922
2018	-152.293333	59.850	88	6	29	42.4	9.203	33.482	89.537	9.426	2.61	30.95
2018	-152.293333	59.850	88	6	30	43.899	9.197	33.343	90.569	9.428	2.433	30.958
2018	-152.293333	59.850	88	6	31	45.452	9.226	33.311	91.161	9.421	2.342	30.943
2018	-152.293333	59.850	88	6	32	46.907	9.211	33.304	91.372	9.424	2.232	30.95
2018	-152.293333	59.850	88	6	33	48.331	9.201	33.415	91.169	9.426	2.136	30.956
2018	-152.293333	59.850	88	6	34	49.774	9.194	33.447	91.059	9.427	2.053	30.965
2018	-152.293333	59.850	88	6	35	51.237	9.183	33.435	90.779	9.428	1.98	30.972
2018	-152.293333	59.850	88	6	36	52.691	9.172	33.39	90.806	9.43	1.918	30.981
2018	-152.293333	59.850	88	6	37	54.179	9.165	33.347	91.038	9.432	1.865	30.987
2018	-152.293333	59.850	88	6	38	55.642	9.157	33.394	91.081	9.433	1.822	30.991
2018	-152.293333	59.850	88	6	39	57.109	9.151	33.435	91.133	9.435	1.786	30.996
2018	-152.293333	59.850	88	6	40	58.563	9.144	33.352	90.809	9.435	1.754	30.999
2018	-152.293333	59.850	88	6	41	59.992	9.136	33.463	90.543	9.437	1.725	31.007
2018	-152.293333	59.850	88	6	42	61.469	9.128	33.48	90.655	9.438	1.7	31.018
2018	-152.293333	59.850	88	6	43	62.999	9.123	33.529	90.875	9.438	1.677	31.033
2018	-152.293333	59.850	88	6	44	64.503	9.115	33.567	91.504	9.439	1.663	31.038
2018	-152.293333	59.850	88	6	45	65.938	9.108	33.556	91.456	9.44	1.646	31.046
2018	-152.293333	59.850	88	6	46	67.339	9.103	33.651	91.238	9.441	1.634	31.053
2018	-152.293333	59.850	88	6	47	68.757	9.098	33.706	91.105	9.442	1.623	31.059
2018	-152.293333	59.850	88	6	48	70.231	9.094	33.719	91.013	9.442	1.613	31.067
2018	-152.293333	59.850	88	6	49	71.742	9.089	33.772	91.271	9.443	1.606	31.075
2018	-152.293333	59.850	88	6	50	73.193	9.085	33.808	91.379	9.443	1.598	31.082
2018	-152.293333	59.850	88	6	51	74.571	9.08	33.768	91.068	9.444	1.591	31.088
2018	-152.293333	59.850	88	6	52	76.078	9.039	33.834	90.68	9.451	1.589	31.109
2018	-152.293333	59.850	88	6	53	77.545	9.035	33.777	90.583	9.452	1.584	31.116
2018	-152.293333	59.850	88	6	54	79.014	9.031	33.701	90.608	9.452	1.58	31.122
2018	-152.293333	59.850	88	6	55	80.536	9.027	33.736	90.66	9.453	1.577	31.127
2018	-152.293333	59.850	88	6	56	82.007	9.024	33.758	90.847	9.453	1.568	31.129
2018	-152.293333	59.850	88	6	57	83.531	9.02	33.868	91.066	9.454	1.574	31.134
2018	-152.293333	59.850	88	6	58	84.944	9.015	33.814	90.826	9.455	1.568	31.137
2018	-152.293333	59.850	88	6	59	86.424	9.015	33.731	90.905	9.455	1.566	31.143
2018	-152.293333	59.850	88	6	60	87.891	9.012	33.743	91.133	9.455	1.564	31.143
2018	-152.293333	59.850	88	6	61	89.313	9.011	33.844	91.195	9.455	1.563	31.144
2018	-152.293333	59.850	88	6	62	90.739	9.009	33.892	91.242	9.456	1.563	31.145
2018	-152.293333	59.850	88	6	63	92.169	9.009	33.949	91.041	9.456	1.555	31.148
2018	-152.293333	59.850	88	6	64	93.71	8.945	34.074	91.221	9.467	1.561	31.186
2018	-152.293333	59.850	88	6	65	95.121	8.944	33.978	90.769	9.467	1.558	31.189
2018	-152.293333	59.850	88	6	66	96.608	8.945	33.98	91.28	9.469	1.559	31.155
2018	-152.293333	59.850	88	6	67	97.998	8.943	34.085	90.939	9.469	1.558	31.157
2018	-152.293333	59.850	88	6	68	99.392	8.941	33.979	91.098	9.469	1.558	31.159
2018	-152.293333	59.850	88	6	69	100.918	8.997	33.61	90.977	9.459	1.558	31.128
2018	-152.293333	59.850	88	6	70	102.292	8.996	33.509	90.602	9.459	1.558	31.129
2018	-152.293333	59.850	88	6	71	103.616	8.993	33.546	90.06	9.46	1.557	31.132
2018	-152.293333	59.850	88	6	72	105.243	9.052	33.514	84.065	9.45	1.556	31.092
2018	-152.293333	59.850	88	6	73	106.797	9.079	33.542	90.123	9.446	1.556	31.071
2018	-152.293333	59.850	88	6	74	107.991	9.083	33.575	89.394	9.445	1.555	31.076
2018	-152.293333	59.850	88	6	75	109.504	9.092	33.586	90.067	9.449	1.556	30.969
2018	-152.293333	59.850	88	6	76	110.708	9.091	33.645	88.081	9.449	1.546	30.971
2018	-152.293333	59.850	88	6	77	112.134	9.171	33.377	89.174	9.434	1.509	30.95
2018	-152.293333	59.850	88	6	78	113.861	9.214	33.416	89.384	9.426	1.554	30.93
2018	-152.293333	59.850	88	6	79	115.191	9.221	33.322	87.065	9.424	1.531	30.94
2018	-152.293333	59.850	88	6	80	116.441	9.574	32.742	89.27	9.368	1.489	30.646
2018	-152.293333	59.850	88	6	81	118.615	9.252	34.034	91.746	9.418	1.556	30.915
2018	-152.293333	59.850	88	6	82	119.996	9.252	34.432	91.36	9.418	1.557	30.915
2018	-152.293333	59.850	88	6	83	121.37	9.252	34.934	91.266	9.418	1.557	30.914
2018	-152.293333	59.850	88	6	84	122.761	9.253	33.903		9.418	1.557	30.915
2018	-152.293333	59.850	88	6	85	123.986	9.253	34.767		9.418	1.558	30.914
2018	-152.293333	59.850	88	6	86	124.89	9.253	34.879		9.418	1.553	30.915
2018	-152.33	59.857	79	65	1	1.784	10.648	30.445	90.787	9.211	893.137	29.191
2018	-152.33	59.857	79	65	2	3.156	10.576	29.017	88.2	9.236	467.932	29.328
2018	-152.33	59.857	79	65	3	4.615	10.55	29.983	88.366	9.241	314.932	29.39
2018	-152.33	59.857	79	65	4	6.011	10.471	30.818	88.612	9.247	213.125	29.421
2018	-152.33	59.857	79	65	5	7.396	10.389	31.229	88.419	9.26	149.004	29.498
2018	-152.33	59.857	79	65	6	8.826	10.32	31.357	89.544	9.27	104.473	29.571
2018	-152.33	59.857	79	65	7	10.266	10.22	31.478	91.287	9.283	74.976	29.6
2018	-152.33	59.857	79	65	8	11.773	10.035	31.632	91.54	9.309	54.086	29.812
2018	-152.33	59.857	79	65	9	13.239	9.984	31.761	91.557	9.322	39.163	29.897
2018	-152.33	59.857	79	65	10	14.688	9.94	31.861	91.804	9.328	29.485	29.945
2018	-152.33	59.857	79	65	11	16.138	9.896	31.977	91.904	9.334	22.486	29.993
2018	-152.33	59.857	79	65	12	17.59	9.855	32.086	91.747	9.341	17.25	30.035
2018	-152.33	59.857	79	65	13	19.05	9.805	32.127	91.415	9.345	13.35	30.094
2018	-152.33	59.857	79	65	14	20.521	9.756	32.217	91.553	9.351	10.431	30.167
2018	-152.33	59.857	79	65	15	21.984	9.709	32.345	91.292	9.357	8.327	30.233
2018	-152.33	59.857	79	65	16	23.435	9.666	32.4	91.24	9.363	6.777	30.297
2018	-152.33	59.857	79	65	17	24.897	9.627	32.423	91.486	9.37	5.587	30.34
2018	-152.33	59.857	79	65	18	26.366	9.595	32.435	91.574	9.375	4.675	30.384
2018	-152.33	59.857	79	65	19	27.832	9.57	32.479	91.347	9.379	3.986	30.416
2018	-152.33	59.857	79	65	20	29.32	9.541	32.545	91.371	9.382	3.474	30.449
2018	-152.33	59.857	79	65	21	30.785	9.508	32.55	91.668	9.387	3.081	30.474
2018	-152.33	59.857	79	65	22	32.193	9.467	32.525	91.215	9.392	2.771	30.511
2018	-152.33	59.857	79	65	23	33.616	9.432	32.541	91.094	9.397	2.52	30.555
2018	-152.33	59.857	79	65	24	35.031	9.403	32.605	91.083	9.403	2.329	30.59
2018	-152.33	59.857	79	65	25	36.57	9.338	32.773	90.823	9.415	2.194	30.636
2018	-152.33	59.857	79	65	26	38.025	9.322	32.756	90.927	9.418	2.077	30.655
2018	-152.33	59.857	79	65	27	39.486	9.315	32.775	90.8	9.419	1.986	30.678
2018	-152.33	59.857	79	65	28	40.963	9.305	32.885	90.961	9.42	1.904	30.687
2018	-152.33	59.857	79	65	29	42.442	9.288	32.918	91.072	9.422	1.844	30.707
2018	-152.33	59.857	79	65	30	43.92	9.276	32.886	90.694	9.424	1.791	30.73
2018	-152.33	59.857	79	65	31	45.36	9.281	32.865	90.25	9.423	1.746	30.741
2018	-152.33	59.857	79	65	32	46.853	9.265	32.953	90.849	9.424	1.716	30.746
2018	-152.33	59.857	79	65	33	48.329	9.24	32.961	90.955	9.428	1.688	30.766
2018	-152.33	59.857	79	65	34	49.795	9.239	32.985	90.463	9.428	1.664	30.784
2018	-152.33	59.857	79	65	35	51.264	9.217	33.015	90.923	9.43	1.644	30.8
2018	-152.33	59.857	79	65	36	52.706	9.2	33.059	90.95	9.434	1.627	30.822
2018	-152.33	59.857	79	65	37	54.158	9.198	33.134	90.637	9.434	1.617	30.833
2018	-152.33	59.857	79	65	38	55.578	9.18	33.168	85.988	9.436	1.607	30.85
2018	-152.33	59.857	79	65	39	56.982	9.209	33.111	91.746	9.431	1.598	30.831
2018	-152.33	59.857	79	65	40	58.519	9.141	33.231	91.356	9.442	1.594	30.885
2018	-152.33	59.857	79	65	41	60.015	9.134	33.198	91.408	9.444	1.587	30.896
2018	-152.33	59.857	79	65	42	61.497	9.129	33.353	91.298	9.445	1.581	30.901
2018	-152.33	59.857	79	65	43	62.941	9.121	33.419	90.994	9.445	1.577	30.905
2018	-152.33	59.857	79	65	44	64.371	9.109	33.35	90.688	9.447	1.573	30.915
2018	-152.33	59.857	79	65	45	65.816	9.101	33.323	90.457	9.449	1.572	30.928
2018	-152.33	59.857	79	65	46	67.358	9.091	33.468	90.695	9.45	1.566	30.939
2018	-152.33	59.857	79	65	47	68.787	9.084	33.425	90.493	9.451	1.566	30.951
2018	-152.33	59.857	79	65	48	70.214	9.097	33.442	90.11	9.449	1.567	30.955
2018	-152.33	59.857	79	65	49	71.731	9.105	33.429	90.832	9.446	1.566	30.955
2018	-152.33	59.857	79	65	50	73.215	9.092	33.39	91.071	9.447	1.562	30.969
2018	-152.33	59.857	79	65	51	74.68	9.075	33.433	91.029	9.449	1.562	30.99
2018	-152.33	59.857	79	65	52	76.095	9.066	33.44	90.619	9.451	1.565	31.005
2018	-152.33	59.857	79	65	53	77.582	9.046	33.452	91.141	9.454	1.56	31.03
2018	-152.33	59.857	79	65	54	79.053	9.087	33.379	91.036	9.445	1.561	31.033
2018	-152.33	59.857	79	65	55	80.502	9.082	33.554	90.978	9.446	1.559	31.04
2018	-152.33	59.857	79	65	56	81.95	9.08	33.605	90.959	9.447	1.559	31.045
2018	-152.33	59.857	79	65	57	83.341	9.079	33.468	90.621	9.447	1.555	31.047
2018	-152.33	59.857	79	65	58	84.933	8.999	33.585	91.368	9.459	1.558	31.124
2018	-152.33	59.857	79	65	59	86.389	8.995	33.454	91.289	9.459	1.558	31.127
2018	-152.33	59.857	79	65	60	87.826	8.991	33.411	91.113	9.46	1.558	31.131
2018	-152.33	59.857	79	65	61	89.297	8.989	33.548	91.12	9.46	1.557	31.136
2018	-152.33	59.857	79	65	62	90.761	8.987	33.611	91.097	9.461	1.557	31.139
2018	-152.33	59.857	79	65	63	92.188	8.986	33.574	90.949	9.461	1.557	31.141
2018	-152.33	59.857	79	65	64	93.521	8.984	33.631	90.32	9.461	1.556	31.141
2018	-152.33	59.857	79	65	65	94.912	8.947	33.577	90.146	9.469	1.551	31.143
2018	-152.33	59.857	79	65	66	96.59	9.001	33.645	90.464	9.459	1.56	31.111
2018	-152.33	59.857	79	65	67	97.986	8.999	33.556	90.634	9.46	1.55	31.113
2018	-152.33	59.857	79	65	68	99.443	9.053	33.401	90.869	9.451	1.557	31.061
2018	-152.33	59.857	79	65	69	100.754	9.052	33.413	89.92	9.451	1.555	31.067
2018	-152.33	59.857	79	65	70	102.156	9.152	33.249	89.486	9.433	1.541	31.028
2018	-152.33	59.857	79	65	71	103.622	9.261	33.316	89.991	9.413	1.556	30.975
2018	-152.33	59.857	79	65	72	104.871	9.264	33.201	87.499	9.412	1.553	30.981
2018	-152.33	59.857	79	65	73	106.088	9.131	33.456	87.805	9.427	1.553	31.201
2018	-152.33	59.857	79	65	74	106.996	9.217	33.518	87.821	9.408	1.477	31.227
2018	-152.33	59.857	79	65	75	109.372	8.413	34.611	89.56	9.555	1.553	31.583
2018	-152.33	59.857	79	65	76	110.514	8.413	34.759	86.24	9.555	1.466	31.582
