	Depth	Pressure	Temp deg. C	Fluorescence 	Oxygen % Sat	Oxygen mg/l	PAR	Salinity	flag	Depth [m]	Pressure [psi]	Temp deg. C	Chlor a [mg/m^3]	Oxygen % Sat	Oxygen mg/l	PAR	Salinity [PSU]
cast6	1	1.541	9.6477	29.7322	88.05164	9.35643	1.63E+03	29.6849	0.00E+00	1	1.721	10.460	31.658	88.619	9.260	551.067	29.094
cast6	2	3.101	9.6454	34.4691	89.08365	9.39523	6.32E+02	30.1102	0.00E+00	2	3.103	10.411	30.372	87.518	9.280	270.827	29.225
cast6	3	4.384	9.46	34.4308	87.24771	9.42082	2.87E+02	29.9351	0.00E+00	3	4.499	10.360	31.120	86.193	9.287	174.978	29.231
cast6	4	5.919	9.6602	34.4749	87.506	9.39484	8.16E+01	30.1888	0.00E+00	4	5.916	10.345	31.792	85.038	9.289	103.245	29.300
cast6	5	7.526	9.4305	34.5554	91.32179	9.41549	3.85E+01	29.751	0.00E+00	5	7.393	10.293	32.055	85.854	9.292	65.678	29.301
cast6	6	8.682	9.3465	34.5538	88.41793	9.45087	1.51E+01	29.9384	0.00E+00	6	8.824	10.208	32.163	86.736	9.306	42.704	29.363
cast6	7	10.197	9.4972	34.6061	85.64718	9.42882	5.43E+00	30.1237	0.00E+00	7	10.270	10.155	32.234	87.897	9.315	27.330	29.419
cast6	8	12.058	9.3852	34.6834	92.73076	9.42451	3.40E+00	29.8389	0.00E+00	8	11.730	10.097	32.277	88.377	9.324	17.658	29.445
cast6	9	13.169	9.2731	34.7063	90.2324	9.46463	2.25E+00	29.9229	0.00E+00	9	13.195	10.055	32.334	88.827	9.332	11.894	29.513
cast6	10	14.413	9.2663	34.7817	85.77539	9.46995	1.77E+00	29.9948	0.00E+00	10	14.697	10.025	32.465	90.250	9.337	8.204	29.548
cast6	11	16.302	9.2672	34.7789	90.00894	9.46771	1.64E+00	30.0387	0.00E+00	11	16.202	9.979	32.551	91.495	9.343	5.937	29.571
cast6	12	17.591	9.252	34.731	89.73458	9.47409	1.60E+00	29.9572	0.00E+00	12	17.608	9.949	32.579	90.744	9.349	4.454	29.616
cast6	13	18.734	9.2412	34.7343	85.51467	9.47636	1.57E+00	29.9714	0.00E+00	13	19.052	9.927	32.648	90.349	9.351	3.421	29.661
cast6	14	20.766	9.2451	34.8124	88.51417	9.47084	1.56E+00	30.0749	0.00E+00	14	20.531	9.888	32.669	91.091	9.355	2.877	29.696
cast6	15	22.227	9.2259	35.0346	92.02134	9.47921	1.56E+00	29.955	0.00E+00	15	22.015	9.860	32.669	90.989	9.360	2.442	29.734
cast6	16	23.262	9.2155	34.9094	89.85936	9.48266	1.56E+00	29.9517	0.00E+00	16	23.483	9.838	32.680	90.771	9.361	2.145	29.791
cast6	17	24.486	9.2163	34.8265	85.94522	9.48259	1.56E+00	29.9804	0.00E+00	17	24.924	9.818	32.761	91.211	9.364	1.995	29.814
cast6	18	26.578	9.2278	34.772	88.95342	9.47647	1.56E+00	30.0421	0.00E+00	18	26.365	9.801	32.771	91.103	9.367	1.861	29.842
cast6	19	28.189	9.2038	34.8454	93.01674	9.48279	1.56E+00	29.9503	0.00E+00	19	27.810	9.789	32.781	91.076	9.369	1.760	29.860
cast6	20	29.307	9.1794	34.9352	91.62686	9.48687	1.55E+00	29.9835	0.00E+00	20	29.257	9.776	32.808	91.445	9.371	1.703	29.870
cast6	21	30.526	9.161	34.8141	89.36174	9.48895	1.55E+00	30.0159	0.00E+00	21	30.756	9.694	32.958	91.110	9.385	1.664	29.905
cast6	22	31.925	9.1299	34.8598	85.92381	9.49161	1.55E+00	30.0805	0.00E+00	22	32.158	9.674	33.001	90.535	9.387	1.630	29.927
cast6	23	33.919	9.1082	34.7753	89.00142	9.49306	1.55E+00	30.1591	0.00E+00	23	33.622	9.648	33.019	90.647	9.389	1.605	29.963
cast6	24	35.448	9.0668	34.8673	91.56401	9.49915	1.55E+00	30.1415	0.00E+00	24	35.054	9.627	33.047	90.596	9.394	1.594	29.988
cast6	25	36.484	9.041	34.8927	88.23085	9.50392	1.55E+00	30.1699	0.00E+00	25	36.494	9.601	33.041	90.186	9.396	1.582	30.019
cast6	26	37.786	9.0222	34.8578	85.60536	9.5065	1.55E+00	30.2243	0.00E+00	26	38.060	9.575	33.082	89.890	9.399	1.578	30.065
cast6	27	39.792	8.9993	35.1071	89.29736	9.5079	1.55E+00	30.2769	0.00E+00	27	39.554	9.539	33.121	90.274	9.403	1.567	30.104
cast6	28	41.017	8.9528	35.0985	88.40943	9.51331	1.55E+00	30.2899	0.00E+00	28	40.937	9.509	33.093	90.311	9.408	1.566	30.139
cast6	29	42.253	8.9271	35.1071	87.45485	9.51905	1.55E+00	30.3412	0.00E+00	29	42.416	9.524	33.074	90.344	9.406	1.558	30.151
cast6	30	44.01	8.9221	35.2212	90.33628	9.52032	1.55E+00	30.3739	0.00E+00	30	43.878	9.506	33.115	90.343	9.407	1.558	30.182
cast6	31	45.524	8.9022	35.2283	91.1602	9.52293	1.55E+00	30.369	0.00E+00	31	45.297	9.485	33.114	90.007	9.409	1.554	30.216
cast6	32	46.763	8.8931	35.2218	88.86257	9.52567	1.55E+00	30.3787	0.00E+00	32	46.800	9.465	33.113	89.241	9.411	1.558	30.247
cast6	33	48.147	8.8943	35.1398	86.49988	9.52564	1.55E+00	30.3911	0.00E+00	33	48.303	9.432	33.142	89.240	9.414	1.557	30.285
cast6	34	49.914	8.8991	35.163	89.33289	9.52428	1.55E+00	30.3909	0.00E+00	34	49.809	9.370	33.160	89.732	9.421	1.557	30.346
cast6	35	51.348	8.8713	35.1806	89.66296	9.52598	1.55E+00	30.3916	0.00E+00	35	51.248	9.311	33.191	90.262	9.431	1.558	30.422
cast6	36	52.515	8.8512	35.1037	86.42543	9.53051	1.55E+00	30.4253	0.00E+00	36	52.695	9.273	33.205	90.162	9.437	1.557	30.478
cast6	37	54.245	8.8497	35.2185	87.99202	9.5305	1.55E+00	30.464	0.00E+00	37	54.062	9.251	33.225	89.748	9.440	1.554	30.515
cast6	38	55.937	8.8461	35.1301	91.11483	9.53191	1.55E+00	30.4375	0.00E+00	38	55.541	9.235	33.177	90.048	9.443	1.556	30.530
cast6	39	57.037	8.8408	35.236	88.858	9.53322	1.55E+00	30.4369	0.00E+00	39	56.947	9.221	33.308	89.782	9.445	1.555	30.558
cast6	40	58.134	8.839	35.3257	85.48549	9.53364	1.55E+00	30.4454	0.00E+00	40	58.343	9.218	33.366	89.736	9.446	1.550	30.576
cast6	41	60.072	8.8494	35.192	85.42572	9.52972	1.55E+00	30.4854	0.00E+00	41	59.776	9.241	33.288	89.613	9.443	1.516	30.537
cast6	42	61.419	8.8393	35.3592	88.73754	9.53272	1.55E+00	30.4407	0.00E+00	42	61.275	9.214	33.300	89.187	9.449	1.534	30.536
cast6	43	62.842	8.8286	35.272	84.56494	9.53431	1.55E+00	30.4615	0.00E+00	43	62.800	9.227	33.272	88.585	9.446	1.556	30.541
cast6	44	64.102	8.8195	35.2072	-9.99E-29	9.5362	1.55E+00	30.4608	0.00E+00	44	64.229	9.285	33.068	89.636	9.435	1.556	30.524
cast6	45	64.809	8.8133	34.8748	-9.99E-29	9.53789	1.55E+00	30.4538	0.00E+00	45	65.450	9.292	32.998	88.101	9.434	1.543	30.546
cast7	1	1.421	9.5996	36.2774	90.55786	9.38206	1.83E+02	29.6753	0.00E+00	46	67.296	9.626	32.663	90.719	9.375	1.557	30.333
cast7	2	2.977	9.5601	33.6125	89.3416	9.41414	8.34E+01	29.9165	0.00E+00	47	68.716	9.620	32.662	90.557	9.376	1.557	30.342
cast7	3	4.41	9.4445	34.6355	84.07831	9.4361	7.16E+01	29.8884	0.00E+00	48	70.082	9.611	32.695	89.992	9.377	1.558	30.350
cast7	4	5.872	9.4329	34.7558	83.64385	9.43501	6.14E+01	29.9963	0.00E+00	49	71.273	9.603	32.687	89.199	9.378	1.552	30.365
cast7	5	7.266	9.3908	34.8247	84.26971	9.44595	4.08E+01	29.9272	0.00E+00	50	72.725	9.517	32.868	88.369	9.391	1.546	30.440
cast7	6	8.762	9.4974	34.9136	82.80912	9.42714	2.82E+01	30.0022	0.00E+00	51	73.840	9.518	32.478	86.958	9.391	1.456	30.467
cast7	7	10.331	9.3684	34.9249	86.49698	9.44387	2.11E+01	29.9141	0.00E+00	52	75.712	9.524	32.882	88.485	9.395	1.559	30.370
cast7	8	11.648	9.3174	34.9108	86.54236	9.45774	1.46E+01	29.9877	0.00E+00	53	76.892	9.520	32.925	86.680	9.396	1.561	30.380
cast7	9	13.146	9.2999	35.0074	88.1363	9.46305	1.03E+01	29.9956	0.00E+00	54	78.088	9.528	32.900	81.414	9.394	1.450	30.392
cast7	10	14.591	9.2921	34.9712	87.27192	9.46557	7.76E+00	29.9888	0.00E+00								
cast7	11	16.051	9.3148	35.0745	86.51372	9.46047	5.70E+00	30.0174	0.00E+00								
cast7	12	17.539	9.29	35.1421	84.54117	9.46403	4.36E+00	29.9923	0.00E+00								
cast7	13	19.162	9.2772	35.6866	86.84677	9.46793	3.48E+00	30.0063	0.00E+00								
cast7	14	20.452	9.2658	35.8795	87.05721	9.46991	2.90E+00	29.9981	0.00E+00								
cast7	15	22.084	9.2579	35.1713	86.58122	9.46999	2.44E+00	30.0314	0.00E+00								
cast7	16	23.832	9.237	35.1557	91.60347	9.47272	2.16E+00	30.0363	0.00E+00								
cast7	17	25.082	9.2276	35.1518	92.12549	9.47484	1.99E+00	30.0478	0.00E+00								
cast7	18	26.484	9.1857	35.0721	91.99661	9.47566	1.85E+00	30.0899	0.00E+00								
cast7	19	27.836	9.1333	34.8607	91.38188	9.48262	1.76E+00	30.1593	0.00E+00								
cast7	20	29.281	9.1007	34.9925	91.09635	9.48935	1.69E+00	30.2061	0.00E+00								
cast7	21	30.877	9.0662	35.1307	91.49682	9.49377	1.65E+00	30.2435	0.00E+00								
cast7	22	32.369	9.029	35.1391	91.6439	9.49856	1.63E+00	30.2787	0.00E+00								
cast7	23	33.703	9.0012	35.1399	91.24801	9.50333	1.60E+00	30.3144	0.00E+00								
