	Depth	Pressure	Temp deg. C	Fluorescence 	Oxygen % Sat	Oxygen mg/l	PAR	Salinity	flag	Depth [m]	Pressure [psi]	Temp deg. C	Chlor a [mg/m^3]	Oxygen % Sat	Oxygen mg/l	PAR	Salinity [PSU]
cast2	1	1.574	9.227	24.2888	88.83192	9.42021	1.50E+03	30.9285	0.00E+00	1	1.802947368	9.813042105	32.03184737	91.43837263	9.259311579	779.212	30.67805263
cast2	2	2.845	9.1777	31.208	90.44751	9.42967	1.20E+03	30.9565	0.00E+00	2	3.208263158	9.700884211	30.21327368	90.51446789	9.311225789	462.7748421	31.00763684
cast2	3	4.51	9.1096	35.7354	91.11758	9.42944	8.49E+02	30.9826	0.00E+00	3	4.592473684	9.659036842	30.42026842	89.70383368	9.319243684	370.9963158	31.04801053
cast2	4	5.811	9.0068	35.6937	84.54559	9.45372	6.51E+02	31.2464	0.00E+00	4	5.957	9.600136842	31.2817	88.74675421	9.327647368	299.97	31.09243158
cast2	5	7.321	8.8663	35.9082	83.96121	9.46408	4.86E+02	31.1763	0.00E+00	5	7.384736842	9.528231579	31.76433684	88.69980211	9.338518421	244.9681053	31.15033684
cast2	6	8.768	8.6717	36.2768	80.56199	9.50446	4.07E+02	31.4005	0.00E+00	6	8.824842105	9.4726	31.96210526	89.10461842	9.349444211	202.0675526	31.192
cast2	7	10.269	8.6248	36.2173	81.70915	9.5098	3.22E+02	31.5512	0.00E+00	7	10.28363158	9.407347368	32.14643158	90.28823526	9.358908421	163.1129316	31.20261053
cast2	8	11.763	8.5069	36.1556	91.09306	9.53803	2.58E+02	31.3449	0.00E+00	8	11.74168421	9.322268421	32.26974211	91.95290789	9.375193684	136.2347158	31.21451053
cast2	9	13.105	8.4278	36.2783	89.54543	9.5594	2.18E+02	31.4085	0.00E+00	9	13.24868421	9.269689474	32.2974	92.21027895	9.387934737	115.1125895	31.26595789
cast2	10	14.639	8.4148	36.205	87.4401	9.5616	1.71E+02	31.4582	0.00E+00	10	14.70352632	9.242973684	32.42031053	92.49173211	9.394809474	95.75364211	31.27509474
cast2	11	16.183	8.3967	35.9979	90.14811	9.56668	1.39E+02	31.4282	0.00E+00	11	16.14836842	9.224642105	32.49116842	92.82656053	9.399493158	81.59487368	31.27933684
cast2	12	17.581	8.3811	35.8444	89.55007	9.57014	1.17E+02	31.4228	0.00E+00	12	17.59268421	9.212231579	32.58645263	92.65597526	9.402351053	70.28615263	31.28590526
cast2	13	18.907	8.3774	35.7976	86.14554	9.5707	9.37E+01	31.4476	0.00E+00	13	19.02089474	9.203	32.68606316	92.08885526	9.404611053	60.48433158	31.28891579
cast2	14	20.642	8.3713	35.9556	88.28704	9.57122	7.80E+01	31.4481	0.00E+00	14	20.493	9.196894737	32.77708947	91.86741316	9.406158421	51.82445789	31.29450526
cast2	15	21.936	8.3605	35.8474	87.66353	9.57493	6.52E+01	31.43	0.00E+00	15	22.00557895	9.190689474	32.82790526	92.12539526	9.407306842	44.51041579	31.29617368
cast2	16	23.43	8.3465	36.3606	88.38158	9.576	5.47E+01	31.4328	0.00E+00	16	23.47942105	9.181194737	32.96701053	92.33708789	9.409081053	38.34591579	31.29077895
cast2	17	24.81	8.2852	36.0035	86.94247	9.58691	4.62E+01	31.4585	0.00E+00	17	24.91847368	9.1701	32.94476842	92.11957053	9.411242105	32.92833158	31.29382105
cast2	18	26.447	8.2757	35.9744	87.61861	9.59014	3.87E+01	31.4883	0.00E+00	18	26.34294737	9.160726316	32.97913684	91.90837368	9.412791053	28.25732632	31.29947368
cast2	19	27.874	8.2595	35.7939	89.09412	9.59344	3.32E+01	31.461	0.00E+00	19	27.78647368	9.149026316	33.01574737	91.92505526	9.414706842	24.15052105	31.30384211
cast2	20	29.151	8.2487	35.8674	87.03741	9.59606	2.80E+01	31.4808	0.00E+00	20	29.26978947	9.139473684	33.03624737	91.89027211	9.416658421	20.65708421	31.31155263
cast2	21	30.798	8.2486	36.1974	87.8164	9.59641	2.37E+01	31.4798	0.00E+00	21	30.76184211	9.131857895	33.1326	91.90441474	9.418252632	17.87673158	31.31566316
cast2	22	32.224	8.2451	36.1948	87.9393	9.59752	2.03E+01	31.475	0.00E+00	22	32.19826316	9.126505263	33.29421579	91.65062211	9.419568947	15.55538947	31.31832632
cast2	23	33.673	8.2444	36.1967	88.297	9.59788	1.74E+01	31.4731	0.00E+00	23	33.60136842	9.122963158	33.10783158	91.30025632	9.420436316	13.50255263	31.32035789
cast2	24	35.154	8.2451	36.1692	88.38405	9.59786	1.50E+01	31.4688	0.00E+00	24	35.06178947	9.121926316	33.11826842	91.16123737	9.420619474	11.76563158	31.32426842
cast2	25	36.557	8.2432	36.3355	87.31172	9.59829	1.29E+01	31.4702	0.00E+00	25	36.57605263	9.117268421	33.17945789	91.15391444	9.420981053	10.23477368	31.32477368
cast2	26	38.176	8.2432	36.3127	89.01493	9.59847	1.11E+01	31.4671	0.00E+00	26	38.04936842	9.108573684	33.20375263	91.37739	9.422291579	8.9536	31.32525263
cast2	27	39.502	8.2397	36.4158	87.80245	9.59929	9.72E+00	31.4623	0.00E+00	27	39.48042105	9.100178947	33.21201053	91.35347944	9.423938947	7.868984211	31.3295
cast2	28	40.942	8.2399	36.7198	87.55393	9.59939	8.39E+00	31.4656	0.00E+00	28	40.91926316	9.091542105	33.30913158	91.36348	9.425329474	6.962457895	31.33530526
cast2	29	42.449	8.2393	36.2321	87.64094	9.5995	7.34E+00	31.4637	0.00E+00	29	42.44116667	9.057922222	33.35776111	91.25052833	9.431355556	6.331883333	31.34886667
cast2	30	43.876	8.2361	36.1605	-9.99E-29	9.60023	6.50E+00	31.4591	0.00E+00	30	43.88877778	9.048844444	33.38438889	91.36887882	9.433165556	5.646116667	31.35571111
cast2	31	44.909	8.2283	36.6835	-9.99E-29	9.60188	5.76E+00	31.4512	0.00E+00	31	45.32011111	9.044694444	33.40376111	91.09941294	9.434436111	5.064277778	31.35883333
cast13	1	1.904	9.6298	29.2241	99.70331	9.23034	1.61E+03	30.3363	0.00E+00	32	46.827	9.089058824	33.17237059	90.73121	9.425221765	4.542847059	31.35548235
cast13	2	3.195	9.1509	24.6101	98.00332	9.38377	9.97E+02	30.9478	0.00E+00	33	48.28658824	9.085588235	33.27484706	91.00454	9.425896471	4.128005882	31.35773529
cast13	3	4.523	8.9682	24.5389	92.90649	9.43527	9.22E+02	31.2174	0.00E+00	34	49.82158824	9.084376471	33.33994706	91.46556588	9.4262	3.762711765	31.36164118
cast13	4	5.821	8.8699	28.5235	88.05379	9.45637	7.13E+02	31.3794	0.00E+00	35	51.33382353	9.080905882	33.50502353	91.88704059	9.426612353	3.470982353	31.35953529
cast13	5	7.173	8.9321	28.5983	83.5754	9.44808	5.70E+02	31.7715	0.00E+00	36	52.74729412	9.0768	33.39871765	91.74753647	9.427290588	3.223341176	31.36303529
cast13	6	8.695	9.1906	28.435	82.01807	9.41039	4.68E+02	31.7024	0.00E+00	37	54.14341176	9.072694118	33.36779412	91.44995882	9.427938235	3.001623529	31.36561176
cast13	7	10.304	9.0723	28.4493	86.97753	9.38825	3.60E+02	31.4767	0.00E+00	38	55.55494118	9.068747059	33.51557647	90.98090588	9.428513529	2.803347059	31.36974706
cast13	8	11.812	8.789	28.4542	92.70659	9.45646	2.97E+02	31.3741	0.00E+00	39	56.99658824	9.068582353	33.49304706	90.57129529	9.428541765	2.627429412	31.37817059
