Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Depth [m]	Sigma	Salinity [psu]	oxper [%]	oxconc	Temperature [C]	fluor [v]	tran [v]	PAR
1	1	c	4/20/2004	18:20	-151.875	59.20333	33	2	1.981	24.9917	31.6079	83.16461	8.62486	4.9561	0.3205	4.2083	8.57E+01
1	1	c	4/20/2004	18:20	-151.875	59.20333	33	3	2.972	24.9902	31.6065	83.33889	8.64236	4.9593	0.3174	4.214	7.28E+01
1	1	c	4/20/2004	18:20	-151.875	59.20333	33	4	3.963	24.9897	31.606	83.36007	8.64449	4.9597	0.3094	4.2139	6.48E+01
1	1	c	4/20/2004	18:20	-151.875	59.20333	33	5	4.953	24.9901	31.6062	83.27583	8.63608	4.9582	0.3099	4.2132	5.63E+01
1	1	c	4/20/2004	18:20	-151.875	59.20333	33	6	5.944	24.9898	31.6057	83.23623	8.63221	4.9572	0.3109	4.2067	4.91E+01
1	1	c	4/20/2004	18:20	-151.875	59.20333	33	7	6.934	24.9905	31.6063	83.25559	8.63463	4.955	0.3168	4.2139	4.19E+01
1	1	c	4/20/2004	18:20	-151.875	59.20333	33	8	7.925	24.9904	31.6061	83.28677	8.63785	4.9552	0.3192	4.2149	3.69E+01
1	1	c	4/20/2004	18:20	-151.875	59.20333	33	9	8.916	24.9899	31.6056	83.39468	8.64891	4.9559	0.3209	4.2146	3.29E+01
1	1	c	4/20/2004	18:20	-151.875	59.20333	33	10	9.906	24.9904	31.6061	83.41685	8.65134	4.9551	0.323	4.2152	2.91E+01
1	1	c	4/20/2004	18:20	-151.875	59.20333	33	11	10.897	24.9901	31.6057	83.43483	8.65332	4.9547	0.3255	4.2141	2.60E+01
1	1	c	4/20/2004	18:20	-151.875	59.20333	33	12	11.887	24.9932	31.6093	83.44353	8.65455	4.9522	0.3295	4.2147	2.31E+01
1	1	c	4/20/2004	18:20	-151.875	59.20333	33	13	12.878	24.9922	31.608	83.47049	8.6572	4.9532	0.3367	4.2144	2.05E+01
1	1	c	4/20/2004	18:20	-151.875	59.20333	33	14	13.869	24.9924	31.6083	83.47677	8.6579	4.9529	0.3336	4.2146	1.82E+01
1	1	c	4/20/2004	18:20	-151.875	59.20333	33	15	14.859	24.9917	31.6075	83.46523	8.65663	4.9534	0.3376	4.2138	1.63E+01
1	1	c	4/20/2004	18:20	-151.875	59.20333	33	16	15.85	24.992	31.6079	83.44276	8.65431	4.9533	0.3305	4.2138	1.46E+01
