Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Temperature [C]	fluor [v]	Depth [m]	Sigma	Salinity [psu]
4	42	c	7/17/2004	13:24	-152.42167	59.95667	30	30	10.628	0.3355	29.717	22.5902	29.5395
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	1	12.054	0.3075	0.991	20.7746	27.5157
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	2	11.4228	0.3096	1.981	21.5021	28.3123
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	3	11.096	0.3051	2.972	21.858	28.6991
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	4	10.9809	0.2943	3.962	21.9772	28.8274
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	5	10.9549	0.2937	4.953	22.0056	28.8583
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	6	10.9246	0.2873	5.944	22.0409	28.8973
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	7	10.9086	0.2875	6.935	22.0586	28.9165
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	8	10.8651	0.2878	7.925	22.1065	28.9688
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	9	10.8188	0.2846	8.916	22.1595	29.027
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	10	10.7896	0.2845	9.906	22.1929	29.0636
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	11	10.754	0.2861	10.897	22.2342	29.1092
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	12	10.7017	0.2891	11.887	22.2935	29.1742
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	13	10.6575	0.287	12.878	22.341	29.2259
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	14	10.656	0.283	13.869	22.3426	29.2275
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	15	10.651	0.2845	14.859	22.3484	29.2339
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	16	10.6197	0.286	15.85	22.3856	29.2751
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	17	10.5957	0.2886	16.84	22.4151	29.3078
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	18	10.5627	0.2889	17.831	22.4559	29.3533
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	19	10.5513	0.3	18.821	22.4715	29.3709
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	20	10.5303	0.2888	19.812	22.5009	29.4042
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	21	10.4228	0.2883	20.803	22.6237	29.5393
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	22	10.2824	0.2846	21.793	22.7751	29.7043
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	23	10.2028	0.2835	22.784	22.8575	29.7935
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	24	10.1802	0.2779	23.775	22.8806	29.8184
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	25	10.173	0.2776	24.765	22.8892	29.8279
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	26	10.17	0.276	25.755	22.893	29.8321
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	27	10.1644	0.2788	26.746	22.9006	29.8407
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	28	10.1536	0.2782	27.736	22.9176	29.8603
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	29	10.1413	0.2794	28.727	22.9383	29.8842
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	30	10.1162	0.2775	29.717	22.9802	29.9327
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	31	10.011	0.278	30.708	23.1128	30.0812
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	32	9.8685	0.2772	31.699	23.2624	30.2438
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	33	9.7939	0.2795	32.689	23.3341	30.3205
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	34	9.7535	0.2731	33.679	23.3747	30.3644
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	35	9.7235	0.274	34.67	23.4048	30.3967
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	36	9.6945	0.2715	35.66	23.4411	30.4374
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	37	9.6658	0.2796	36.651	23.4842	30.4868
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	38	9.6325	0.2716	37.641	23.5212	30.5275
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	39	9.4323	0.29	38.632	23.7331	30.7587
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	40	9.355	0.3095	39.622	23.8124	30.8447
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	41	9.336	0.3252	40.613	23.8341	30.8687
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	42	9.237	0.3478	41.603	23.9437	30.9894
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	43	9.223	0.3442	42.594	23.9568	31.0034
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	44	9.2239	0.3546	43.584	23.9546	31.0007
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	45	9.21	0.3475	44.574	23.9695	31.017
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	46	9.1777	0.3543	45.565	24.0008	31.0507
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	47	9.1709	0.3612	46.555	24.0072	31.0576
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	48	9.1704	0.3499	47.546	24.0079	31.0583
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	49	9.1663	0.367	48.536	24.0118	31.0625
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	50	9.1735	0.3636	49.527	24.0045	31.0545
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	51	9.1823	0.3405	50.517	23.9964	31.0458
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	52	9.1821	0.3503	51.507	23.9962	31.0456
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	53	9.1701	0.3508	52.498	24.0075	31.0576
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	54	9.1452	0.3537	53.488	24.0311	31.0829
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	55	9.1462	0.3497	54.479	24.0302	31.0819
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	56	9.134	0.3605	55.469	24.0406	31.0929
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	57	9.1305	0.3677	56.459	24.0426	31.0946
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	58	9.1302	0.3747	57.45	24.0424	31.0944
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	59	9.1028	0.3621	58.44	24.0672	31.1206
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	60	9.1062	0.3658	59.43	24.0639	31.1171
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	61	9.0996	0.3594	60.421	24.0698	31.1234
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	62	9.0831	0.3636	61.411	24.0856	31.1402
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	63	9.0834	0.3664	62.402	24.0856	31.1403
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	64	9.0865	0.3738	63.392	24.0826	31.137
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	65	9.0863	0.3709	64.382	24.0829	31.1374
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	66	9.0851	0.3589	65.373	24.0837	31.1382
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	67	9.0849	0.3721	66.363	24.0849	31.1397
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	68	9.084	0.3546	67.353	24.0855	31.1402
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	69	9.0842	0.3761	68.344	24.0854	31.1401
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	70	9.0832	0.3755	69.334	24.0862	31.1409
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	71	9.0749	0.3523	70.324	24.0935	31.1486
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	72	9.0759	0.3646	71.315	24.0928	31.1478
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	73	9.0801	0.3744	72.305	24.0893	31.1442
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	74	9.0771	0.3654	73.295	24.0918	31.1468
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	75	9.0765	0.3717	74.285	24.0923	31.1473
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	76	9.0763	0.3643	75.276	24.0929	31.148
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	77	9.0753	0.3778	76.266	24.0939	31.1491
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	78	9.0807	0.3892	77.256	24.0888	31.1436
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	79	9.0673	0.3726	78.246	24.1	31.1552
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	80	9.0661	0.3744	79.237	24.101	31.1563
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	81	9.0669	0.3604	80.227	24.1005	31.1558
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	82	9.0674	0.3758	81.217	24.1001	31.1553
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	83	9.0665	0.3709	82.208	24.101	31.1562
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	84	9.0655	0.3723	83.198	24.1017	31.157
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	85	9.0701	0.3725	84.188	24.0986	31.1539
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	86	9.0718	0.3621	85.178	24.0972	31.1524
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	87	9.0735	0.3604	86.168	24.0963	31.1516
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	88	9.0651	0.3814	87.159	24.1049	31.161
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	89	9.053	0.3562	88.149	24.1163	31.1732
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	90	9.0516	0.3728	89.139	24.1175	31.1743
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	91	9.047	0.3627	90.129	24.1216	31.1787
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	92	9.0498	0.3708	91.12	24.1191	31.176
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	93	9.0408	0.362	92.11	24.1274	31.1849
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	94	9.0356	0.37	93.1	24.1318	31.1894
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	95	9.0255	0.3639	94.09	24.1408	31.199
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	96	9.0126	0.3843	95.08	24.1519	31.2106
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	97	9.0107	0.379	96.07	24.1534	31.2122
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	98	9.0117	0.3761	97.061	24.1526	31.2113
4	44	c	7/17/2004	13:24	-152.30833	59.91833	112	99	9.0084	0.3796	98.051	24.1555	31.2143
