"ID","Transect","Station","Lon (°W)","Lat (°N)","Depth (m)","Plankton"
157,8,31,-151.881383333333,59.6963833333333,NA,0
158,8,32,-151.881283333333,59.7051333333333,NA,0
159,8,33,-151.881,59.7142166666667,NA,0
160,8,34,-151.880133333333,59.7230166666667,NA,0
161,8,35,-151.878333333333,59.7325333333333,NA,0
162,8,36,-151.876666666667,59.7414,NA,0
163,8,37,-151.866283333333,59.7455,NA,0
164,9,1,-151.35012,59.569,NA,0
165,9,2,-151.35508,59.57077,NA,0
166,9,3,-151.36029,59.57241,NA,0
167,9,4,-151.36669,59.57508,NA,0
168,9,5,-151.37129,59.5772,NA,0
169,9,6,-151.37727,59.57998,NA,0
170,9,7,-151.38287,59.58303,NA,0
171,9,8,-151.38747,59.58645,NA,0
172,9,9,-151.3922,59.58981,NA,0
173,9,10,-151.39708,59.5931,NA,0
174,9,11,-151.40165,59.59664,NA,0
