"ID","Transect","Station","Lon (°W)","Lat (°N)","Depth (m)","Plankton"
140,8.00,14,-151.87,59.54,,0
141,8.00,15,-151.87,59.56,,0
142,8.00,16,-151.95,59.61,,0
143,8.00,17,-151.87,59.57,,0
144,8.00,18,-151.86,59.58,,0
145,8.00,19,-151.86,59.58,,0
146,8.00,20,-151.87,59.59,,0
147,8.00,21,-151.87,59.60,,0
148,8.00,22,-151.86,59.61,,0
149,8.00,23,-151.86,59.62,,0
150,8.00,24,-151.87,59.63,,0
151,8.00,25,-151.87,59.64,,0
152,8.00,26,-151.87,59.65,,0
153,8.00,27,-151.87,59.66,,0
154,8.00,28,-151.87,59.66,,0
155,8.00,29,-151.87,59.67,,0
156,8.00,30,-151.88,59.68,,0
157,8.00,31,-151.88,59.69,,0
158,8.00,32,-151.88,59.70,,0
159,8.00,33,-151.88,59.71,,0
160,8.00,34,-151.88,59.72,,0
161,8.00,35,-151.87,59.73,,0
162,8.00,36,-151.87,59.74,,0
163,8.00,37,-151.86,59.74,,0
164,9.00,1,-151.35,59.56,,0
165,9.00,2,-151.35,59.57,,0
166,9.00,3,-151.36,59.57,,0
167,9.00,4,-151.36,59.57,,0
168,9.00,5,-151.37,59.57,,0
169,9.00,6,-151.37,59.57,,0
170,9.00,7,-151.38,59.58,,0
171,9.00,8,-151.38,59.58,,0
172,9.00,9,-151.39,59.58,,0
173,9.00,10,-151.39,59.59,,0
174,9.00,11,-151.40,59.59,,0
