DeviceName,DeviceDateTime,AgeInSeconds,BatteryVoltage,CommId,GpsQuality,Latitude,Longitude,SubmergedPercent,Temperature0cm,vnDivRate,ZCount,zThreshold
UAF-IWR-0012,2023-02-13 02:32:11,,10.4,300534060151460,,64.834292,-147.869614,,,,0,
UAF-IWR-0012,2023-02-13 02:20:17,,10.4,300534060151460,,64.859875,-147.84815,,,,0,
UAF-IWR-0012,2023-02-13 02:10:02,,10.4,300534060151460,,64.860206,-147.848619,,,,0,
UAF-IWR-0012,2023-02-13 02:03:21,,10.4,300534060151460,,64.859819,-147.847975,,,,0,
UAF-IWR-0012,2023-02-13 01:50:02,,10.4,300534060151460,,64.859769,-147.848081,,,,0,
UAF-IWR-0012,2023-02-13 01:10:02,,10.4,300534060151460,,64.85995,-147.847664,,,,0,
UAF-IWR-0012,2023-02-13 00:40:02,,10.4,300534060151460,,64.859925,-147.848203,,,,0,
UAF-IWR-0012,2023-02-13 00:30:02,,10.4,300534060151460,,64.860083,-147.848353,,,,0,
UAF-IWR-0012,2023-02-12 23:20:02,,10.4,300534060151460,,64.859806,-147.848344,,,,0,
UAF-IWR-0012,2023-02-12 23:00:02,,10.4,300534060151460,,64.860614,-147.848181,,,,0,
UAF-IWR-0012,2023-02-12 22:50:03,,10.4,300534060151460,,64.860847,-147.848158,,,,0,
UAF-IWR-0012,2023-02-12 22:40:02,,10.4,300534060151460,,64.860539,-147.848242,,,,0,
UAF-IWR-0012,2023-02-12 22:30:03,,10.4,300534060151460,,64.860225,-147.847994,,,,0,
UAF-IWR-0012,2023-02-12 22:20:02,,10.4,300534060151460,,64.860111,-147.848036,,,,0,
UAF-IWR-0012,2023-02-12 22:10:01,,10.4,300534060151460,,64.860089,-147.848219,,,,0,
UAF-IWR-0012,2023-02-12 22:00:02,,10.4,300534060151460,,64.860472,-147.848281,,,,0,
UAF-IWR-0012,2023-02-12 21:50:02,,10.4,300534060151460,,64.860367,-147.848075,,,,0,
UAF-IWR-0012,2023-02-12 21:10:02,,10.4,300534060151460,,64.860244,-147.848222,,,,0,
UAF-IWR-0012,2023-02-12 21:00:02,,10.4,300534060151460,,64.860753,-147.848178,,,,0,
UAF-IWR-0012,2023-02-12 18:20:02,,10.4,300534060151460,,64.860358,-147.848203,,,,0,
UAF-IWR-0012,2023-02-12 18:10:02,,10.4,300534060151460,,64.860161,-147.847956,,,,0,
UAF-IWR-0012,2023-02-12 18:00:02,,10.4,300534060151460,,64.860083,-147.848086,,,,0,
UAF-IWR-0012,2023-02-12 17:50:02,,10.4,300534060151460,,64.860086,-147.848189,,,,0,
UAF-IWR-0012,2023-02-12 17:40:02,,10.4,300534060151460,,64.86055,-147.848094,,,,0,
UAF-IWR-0012,2023-02-12 16:30:02,,10.4,300534060151460,,64.860367,-147.8485,,,,0,
UAF-IWR-0012,2023-02-12 16:20:02,,10.4,300534060151460,,64.860497,-147.848497,,,,0,
UAF-IWR-0012,2023-02-12 16:10:03,,10.4,300534060151460,,64.859836,-147.848094,,,,0,
UAF-IWR-0012,2023-02-12 16:00:02,,10.4,300534060151460,,64.860264,-147.848267,,,,0,
UAF-IWR-0012,2023-02-12 15:50:02,,10.4,300534060151460,,64.860044,-147.848144,,,,0,
UAF-IWR-0012,2023-02-12 15:40:02,,10.4,300534060151460,,64.860133,-147.848181,,,,0,
UAF-IWR-0012,2023-02-12 15:30:02,,10.4,300534060151460,,64.860031,-147.848097,,,,0,
