Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Depth [m]	Temperature [C]	Sigma	Salinity [psu]	oxper [%]	oxconc	tran [v]	flour [v]
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	9	8.916	11.0238	23.5673	30.8826	101.19005	9.17026	3.8542	1.9012
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	10	9.906	10.8881	23.6412	30.9476	99.61108	9.0502	3.829	1.9365
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	11	10.897	10.84	23.6648	30.9672	98.52083	8.95944	3.8852	1.861
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	12	11.888	10.7756	23.6902	30.9858	96.80644	8.8149	3.914	1.7043
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	13	12.878	10.7187	23.7122	31.0015	95.98401	8.75004	3.9306	1.7954
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	14	13.868	10.6823	23.725	31.0099	94.74847	8.64381	3.9368	1.6678
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	15	14.859	10.5835	23.7539	31.0255	93.65484	8.56172	3.9549	1.6131
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	16	15.85	10.5369	23.7688	31.0346	92.4739	8.46192	3.9912	1.2777
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	17	16.84	10.4599	23.7938	31.0501	91.92714	8.4253	4.0069	1.2997
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	18	17.831	10.4412	23.8018	31.0563	91.65046	8.40307	4.0244	1.2962
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	19	18.822	10.4233	23.8123	31.066	91.22374	8.36673	4.0218	1.2221
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	20	19.812	10.4001	23.8225	31.074	90.82894	8.33435	4.0481	1.204
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	21	20.802	10.3813	23.8294	31.0788	90.69242	8.32501	4.0789	1.0964
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	22	21.793	10.37	23.8333	31.0814	90.3081	8.29165	4.0468	1.1218
6	24	c	9/8/2004	14:51	-152.66167	58.62333	54	23	22.784	10.3298	23.8469	31.0903	89.77314	8.24937	4.0772	1.0502
