Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Depth [m]	Sigma	Salinity [psu]	oxper [%]	oxconc	Temperature [C]	tran [v]	fluor [v]
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	9	8.915	23.3653	30.9243	102.58129	9.03715	12.3269	3.9915	0.2587
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	10	9.906	23.4998	31.0027	102.96551	9.14395	11.9281	4.0334	0.2466
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	11	10.897	23.5831	31.0549	103.10559	9.19969	11.6927	4.0615	0.2278
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	12	11.888	23.6096	31.0742	103.23182	9.22262	11.6282	4.0504	0.2446
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	13	12.878	23.6282	31.0877	103.40816	9.24658	11.5831	4.0517	0.311
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	14	13.869	23.6575	31.1091	103.22485	9.243	11.5125	4.0327	0.292
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	15	14.859	23.7113	31.1422	102.67893	9.22359	11.3546	4.017	0.3155
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	16	15.85	23.7874	31.1885	101.38711	9.15001	11.1263	3.9914	0.4415
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	17	16.84	23.8863	31.2483	99.03498	8.9933	10.8237	3.9027	0.6961
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	18	17.831	23.9904	31.3152	97.17569	8.87991	10.5184	3.8227	0.9425
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	19	18.822	24.0697	31.3645	95.7261	8.79184	10.2745	3.7442	0.8869
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	20	19.812	24.0862	31.373	94.93644	8.73027	10.215	3.7586	0.9438
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	21	20.802	24.0966	31.3766	94.53868	8.70228	10.1693	3.7345	0.9888
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	22	21.793	24.0949	31.3752	93.84826	8.63811	10.1729	3.7395	1.0064
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	23	22.784	24.1165	31.385	93.16282	8.5905	10.0884	3.7219	1.0112
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	24	23.774	24.1366	31.3977	92.51732	8.54206	10.0262	3.6937	1.004
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	25	24.765	24.1618	31.4129	91.57044	8.46907	9.9447	3.7047	1.1215
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	26	25.755	24.2032	31.4399	90.01291	8.34663	9.8199	3.6975	1.0572
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	27	26.746	24.2842	31.4866	87.77051	8.18686	9.5415	3.7334	0.8102
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	28	27.736	24.3507	31.5285	85.9143	8.05014	9.3268	3.807	0.6848
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	29	28.727	24.3981	31.5504	83.79758	7.8851	9.1327	3.8503	0.6022
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	30	29.718	24.4242	31.5597	82.6509	7.79803	9.011	3.881	0.6249
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	31	30.708	24.448	31.5729	82.00768	7.75216	8.9225	3.8851	0.5738
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	32	31.698	24.4519	31.575	81.8434	7.73917	8.9074	3.901	0.4921
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	33	32.689	24.4611	31.579	81.53128	7.71637	8.8677	3.9085	0.497
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	34	33.679	24.4761	31.5863	80.96671	7.67317	8.8065	3.9129	0.4862
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	35	34.67	24.4972	31.595	80.26612	7.62275	8.7115	3.9283	0.4276
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	36	35.66	24.5124	31.6052	80.02671	7.60775	8.6638	3.9453	0.4258
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	37	36.651	24.5155	31.6066	79.76742	7.58529	8.6506	3.9515	0.4134
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	38	37.641	24.5205	31.6077	79.12066	7.52845	8.623	3.9644	0.368
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	39	38.632	24.5386	31.6157	78.30618	7.4641	8.543	3.9672	0.3942
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	40	39.622	24.5613	31.6255	77.51249	7.40494	8.4422	3.9699	0.3392
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	41	40.613	24.5849	31.6397	76.94384	7.36427	8.3569	3.9743	0.3108
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	42	41.603	24.5922	31.6424	76.76703	7.35314	8.3216	3.9879	0.3233
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	43	42.594	24.6002	31.6462	76.66395	7.34889	8.287	3.9986	0.3235
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	44	43.584	24.6047	31.6495	76.60498	7.34531	8.2737	3.9993	0.3369
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	45	44.575	24.6055	31.6496	76.45769	7.33195	8.2692	3.9978	0.3145
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	46	45.565	24.612	31.6513	76.39194	7.33146	8.2339	3.9972	0.3016
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	47	46.555	24.6186	31.6571	76.35141	7.32971	8.2195	3.9901	0.2961
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	48	47.546	24.6185	31.6566	76.35496	7.33043	8.2174	3.9976	0.2891
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	49	48.536	24.6192	31.6572	76.31302	7.32663	8.2159	3.9968	0.3126
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	50	49.527	24.6225	31.6562	76.08697	7.30972	8.1875	3.9943	0.2959
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	51	50.517	24.64	31.6668	75.92903	7.30466	8.124	3.9979	0.2689
5	24	c	8/17/2004	8:00	-152.66167	58.62333	54	52	51.507	24.6497	31.6705	75.84097	7.30379	8.0775	4.0115	0.2703
5	25	c	8/17/2004	7:45	-152.685	58.635	88	1	0.991	23.1485	30.8267	101.30679	8.79099	13.0705	3.9287	0.2784
5	25	c	8/17/2004	7:45	-152.685	58.635	88	2	1.981	23.1528	30.8271	101.43392	8.80583	13.0498	3.9246	0.2736
5	25	c	8/17/2004	7:45	-152.685	58.635	88	3	2.972	23.1536	30.8275	101.77203	8.83554	13.0478	3.9194	0.2875
5	25	c	8/17/2004	7:45	-152.685	58.635	88	4	3.962	23.182	30.8483	101.94129	8.86098	12.9839	3.9101	0.2747
5	25	c	8/17/2004	7:45	-152.685	58.635	88	5	4.953	23.2691	30.9389	101.29635	8.81629	12.8958	3.9335	0.2709
5	25	c	8/17/2004	7:45	-152.685	58.635	88	6	5.944	23.4878	31.0497	101.80097	8.98818	12.1885	4.0263	0.2365
5	25	c	8/17/2004	7:45	-152.685	58.635	88	7	6.935	23.6721	31.1211	102.65618	9.19814	11.4803	4.0317	0.28
5	25	c	8/17/2004	7:45	-152.685	58.635	88	8	7.925	23.745	31.175	102.67214	9.23055	11.3071	4.0255	0.3155
5	25	c	8/17/2004	7:45	-152.685	58.635	88	9	8.916	23.8378	31.2276	101.2549	9.15887	11.0103	3.9848	0.4046
5	25	c	8/17/2004	7:45	-152.685	58.635	88	10	9.906	23.9531	31.2984	100.03148	9.1135	10.6603	3.9069	0.5145
5	25	c	8/17/2004	7:45	-152.685	58.635	88	11	10.897	24.0392	31.3519	98.17209	8.99278	10.3974	3.8943	0.5378
5	25	c	8/17/2004	7:45	-152.685	58.635	88	12	11.888	24.147	31.4201	96.70905	8.91943	10.0684	3.9117	0.6053
5	25	c	8/17/2004	7:45	-152.685	58.635	88	13	12.878	24.1783	31.4396	95.70689	8.84516	9.97	3.8887	0.6656
5	25	c	8/17/2004	7:45	-152.685	58.635	88	14	13.869	24.2032	31.448	94.34859	8.74108	9.857	3.8927	0.6962
5	25	c	8/17/2004	7:45	-152.685	58.635	88	15	14.859	24.2309	31.4627	93.0376	8.63793	9.7571	3.866	0.6489
5	25	c	8/17/2004	7:45	-152.685	58.635	88	16	15.85	24.2364	31.4614	91.10211	8.46599	9.7161	3.8909	0.654
5	25	c	8/17/2004	7:45	-152.685	58.635	88	17	16.841	24.2383	31.4552	86.62084	8.05736	9.6745	3.8834	0.6296
5	25	c	8/17/2004	7:45	-152.685	58.635	88	18	17.831	24.2548	31.4456	83.48429	7.79219	9.5238	3.8622	0.6419
5	25	c	8/17/2004	7:45	-152.685	58.635	88	19	18.822	24.2787	31.4609	82.51007	7.71353	9.4483	3.8918	0.6529
5	25	c	8/17/2004	7:45	-152.685	58.635	88	20	19.812	24.2946	31.4715	82.02123	7.67567	9.4	3.8872	0.6417
5	25	c	8/17/2004	7:45	-152.685	58.635	88	21	20.803	24.3147	31.4936	82.31792	7.70544	9.3821	3.8807	0.7078
5	25	c	8/17/2004	7:45	-152.685	58.635	88	22	21.793	24.333	31.5022	80.50083	7.54726	9.3087	3.8648	0.6064
5	25	c	8/17/2004	7:45	-152.685	58.635	88	23	22.784	24.389	31.5303	79.22091	7.46271	9.0892	3.9335	0.5011
5	25	c	8/17/2004	7:45	-152.685	58.635	88	24	23.774	24.4288	31.559	78.74921	7.43576	8.9764	3.951	0.4093
5	25	c	8/17/2004	7:45	-152.685	58.635	88	25	24.765	24.4526	31.5707	78.61396	7.43855	8.8804	3.9777	0.4151
5	25	c	8/17/2004	7:45	-152.685	58.635	88	26	25.755	24.4799	31.5883	78.61781	7.4531	8.791	3.9865	0.4123
5	25	c	8/17/2004	7:45	-152.685	58.635	88	27	26.746	24.4855	31.5904	78.66712	7.46211	8.7648	3.9962	0.3882
5	25	c	8/17/2004	7:45	-152.685	58.635	88	28	27.736	24.4949	31.5949	78.59575	7.46173	8.7257	3.9878	0.3889
5	25	c	8/17/2004	7:45	-152.685	58.635	88	29	28.727	24.5062	31.5992	78.10819	7.4241	8.673	3.9819	0.3651
5	25	c	8/17/2004	7:45	-152.685	58.635	88	30	29.717	24.5259	31.6096	77.72072	7.39967	8.5961	3.9983	0.3422
5	25	c	8/17/2004	7:45	-152.685	58.635	88	31	30.708	24.5423	31.6181	77.42814	7.38254	8.5297	4.0007	0.3368
5	25	c	8/17/2004	7:45	-152.685	58.635	88	32	31.698	24.5528	31.6225	76.77151	7.32758	8.4826	3.9968	0.3306
5	25	c	8/17/2004	7:45	-152.685	58.635	88	33	32.689	24.5693	31.6286	76.40931	7.30595	8.403	4.0241	0.3105
5	25	c	8/17/2004	7:45	-152.685	58.635	88	34	33.679	24.5849	31.6382	76.11442	7.2864	8.3482	4.0286	0.3037
5	25	c	8/17/2004	7:45	-152.685	58.635	88	35	34.67	24.5878	31.6389	75.92355	7.27078	8.332	4.0341	0.2876
5	25	c	8/17/2004	7:45	-152.685	58.635	88	36	35.66	24.5928	31.6414	75.82261	7.26432	8.312	4.0488	0.2873
5	25	c	8/17/2004	7:45	-152.685	58.635	88	37	36.651	24.5941	31.6418	75.6417	7.24815	8.3049	4.0449	0.2702
5	25	c	8/17/2004	7:45	-152.685	58.635	88	38	37.641	24.5983	31.6435	75.44702	7.23274	8.2847	4.0509	0.2573
5	25	c	8/17/2004	7:45	-152.685	58.635	88	39	38.632	24.6089	31.6479	75.25032	7.22174	8.2359	4.0439	0.2504
5	25	c	8/17/2004	7:45	-152.685	58.635	88	40	39.622	24.6244	31.6576	75.14262	7.21982	8.1821	4.0573	0.2353
5	25	c	8/17/2004	7:45	-152.685	58.635	88	41	40.613	24.6287	31.6605	75.02067	7.21039	8.1674	4.0474	0.2338
5	25	c	8/17/2004	7:45	-152.685	58.635	88	42	41.603	24.6331	31.6604	74.87723	7.20166	8.1368	4.0406	0.2521
5	25	c	8/17/2004	7:45	-152.685	58.635	88	43	42.593	24.6415	31.6676	74.77451	7.19465	8.1173	4.0463	0.2277
5	25	c	8/17/2004	7:45	-152.685	58.635	88	44	43.584	24.6548	31.6736	74.73381	7.20032	8.0575	4.036	0.2308
5	25	c	8/17/2004	7:45	-152.685	58.635	88	45	44.574	24.6629	31.6784	74.54205	7.18649	8.028	4.043	0.2337
