Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Temperature [C]	fluor [v]	Depth [m]	Sigma	Salinity [psu]
4	57	c	7/18/2004	23:46	-151.65	59.525	109	34	8.5257	0.5812	33.679	24.4252	31.4677
4	57	c	7/18/2004	23:46	-151.65	59.525	109	35	8.4865	0.5648	34.67	24.4322	31.4692
4	57	c	7/18/2004	23:46	-151.65	59.525	109	36	8.4646	0.5531	35.66	24.4366	31.4707
4	57	c	7/18/2004	23:46	-151.65	59.525	109	37	8.4197	0.5398	36.651	24.4441	31.4718
4	57	c	7/18/2004	23:46	-151.65	59.525	109	38	8.3868	0.527	37.641	24.4482	31.4709
4	57	c	7/18/2004	23:46	-151.65	59.525	109	39	8.3509	0.5243	38.632	24.4493	31.4656
4	57	c	7/18/2004	23:46	-151.65	59.525	109	40	8.2497	0.5145	39.622	24.451	31.4489
4	57	c	7/18/2004	23:46	-151.65	59.525	109	41	8.1932	0.5065	40.613	24.4534	31.4416
4	57	c	7/18/2004	23:46	-151.65	59.525	109	42	8.1863	0.5065	41.603	24.4528	31.4396
4	57	c	7/18/2004	23:46	-151.65	59.525	109	43	8.1733	0.5063	42.594	24.4531	31.4375
4	57	c	7/18/2004	23:46	-151.65	59.525	109	44	8.1509	0.5048	43.584	24.4541	31.4347
4	57	c	7/18/2004	23:46	-151.65	59.525	109	45	8.2616	0.5062	44.574	24.4559	31.4574
4	57	c	7/18/2004	23:46	-151.65	59.525	109	46	8.2857	0.5078	45.565	24.4558	31.4616
4	57	c	7/18/2004	23:46	-151.65	59.525	109	47	8.2832	0.5063	46.555	24.4556	31.4609
4	57	c	7/18/2004	23:46	-151.65	59.525	109	48	8.3012	0.5089	47.546	24.4563	31.4651
4	57	c	7/18/2004	23:46	-151.65	59.525	109	49	8.3073	0.5132	48.536	24.4577	31.4681
4	57	c	7/18/2004	23:46	-151.65	59.525	109	50	8.3047	0.5201	49.527	24.4585	31.4685
4	57	c	7/18/2004	23:46	-151.65	59.525	109	51	8.2995	0.5206	50.517	24.4592	31.4684
4	57	c	7/18/2004	23:46	-151.65	59.525	109	52	8.294	0.5244	51.507	24.4612	31.47
4	57	c	7/18/2004	23:46	-151.65	59.525	109	53	8.2953	0.5419	52.498	24.4626	31.472
4	57	c	7/18/2004	23:46	-151.65	59.525	109	54	8.2681	0.5352	53.488	24.4669	31.4724
4	57	c	7/18/2004	23:46	-151.65	59.525	109	55	8.2183	0.5276	54.479	24.4739	31.4721
4	57	c	7/18/2004	23:46	-151.65	59.525	109	56	8.2033	0.5226	55.469	24.4762	31.4724
4	57	c	7/18/2004	23:46	-151.65	59.525	109	57	8.1939	0.5167	56.459	24.476	31.4703
4	57	c	7/18/2004	23:46	-151.65	59.525	109	58	8.1895	0.5229	57.45	24.4769	31.4706
4	57	c	7/18/2004	23:46	-151.65	59.525	109	59	8.1659	0.5171	58.44	24.48	31.4702
